##NAME|SUBNAME|TELNUM|ADDR|FEAT@@태권도장
문의 체육관||293-8906|충청북도 청원군 문의면 미천리 121-15|
청무 체육관||214-4545|충청북도 청원군 청암로 33 3층|
청파 체육관||218-3880|충북 청주시 청원구 오창읍 오창중앙로 12 3층(각리, 중앙하이츠빌아파트 상가)|
이태훈태권도장||062-432-0909|광주광역시 광산구 도산동 782 호반아파트2차상가 2층|
경희대키즈태권도장||031-286-0013|경기도 용인시 기흥구 사은로 130-12 쇼핑이지상가 C동 201호(보라동)|
동명태권도장||031-274-1733|경기도 용인시 기흥구 새천년로26번길 4 보은빌딩 501호(신갈동)|
동탄MTA태권도||031-613-0051|경기도 화성시 동탄반석로 41 단지내 상가 305호~308호(반송동, 나루마을신도브래뉴아파트)|
늘해랑 태권도||062-269-2727|광주광역시 북구 두암동 885-9 양서맨션상가 2층|
국가대표스타클래스태권도장||02-893-0002|경기도 광명시 범안로 1035 7층(하안동)|
광명경희대호림태권도장||02-2688-8141|경기도 광명시 철산로 45 2층(철산동)|
한국체대두드림태권도장||032-328-2151|경기도 부천시 원미구 조마루로 246 301호 302호(중동, 우성상가 3층)|
석사경희대태권도장||032-668-7952|경기도 부천시 소사구 성주로 224 206호(심곡본동, 2층)|
석사경희대한미태권도장||032-348-7650|경기도 부천시 원미구 지봉로 100 4층(역곡동,청호빌딩)|
정도태권도장||031-797-5199|경기도 광주시 마루들길 259 2층, 3층(교동빌딩)|
분도태권도장||031-767-8547|경기 광주시 경안로42번길 5-4 2층(경안동)|
MTA왕건태권도장||031-631-7677|경기도 이천시 향교로 128 3층(창전동)|
MTA백호태권도장||031-633-1240|경기도 이천시 대산로 476-11|
한양대 태양뮤직 태권도장|||대구광역시 달서구 상원로 117 4층(상인동)|
선인태권도장(2관)||053-243-0208|대구광역시 북구 노원동1가 6-16번지|
석사아이사랑태권도장||031-922-0909|경기도 고양시 일산서구 가좌1로 8 303호(가좌동,가좌마을5단지상가동 3층)|
고양용인대힘찬태권도장|||경기도 고양시 덕양구 도래울1로 57 304호 305호(도내동,태종빌딩 3층)|
경희대국가대표태권도장||031-285-7942|경기도 용인시 기흥구 중부대로788번길 13 301호 302호(상하동, 수원동마을쌍용스윗닷홈아파트)|
효태권도장||031-693-3600|경기도 용인시 기흥구 동백죽전대로 281 206호(중동,참솔마을월드메르디앙상가동 2층)|
용인대와이티에이(YTA)태권도장||031-332-6567|경기도 용인시 처인구 백옥대로 603 202호(훼밀리프라자 2층)|
용인대상현태권도||031-272-3303|경기도 용인시 수지구 상현로 70 301호(상현동, 상현마을동일스위트아파트상가동 3층)|
용인대꿈나무태권도장||031-272-1771|경기도 용인시 수지구 수지로461번길 38 301호(동천동,신세계프라자 3층)|
태풍태권도장||031-261-8051|경기도 용인시 수지구 수풍로 38 지층(풍덕천동, 삼성2차아파트상가)|
용인대 액티브 태권도장||044-866-7712|세종특별자치시  노을3로 104 한솔빌딩4층(한솔동)|
고려튼튼태권도장||02-337-7012|서울특별시 서대문구 연희로32길 20 상가3층 301호(연희동, 대림아파트)|
백운나래태권도장||02-902-9555|서울특별시 도봉구 삼양로 590 3층(쌍문동)|
실전경찰태권도장||02-426-3006|서울특별시 강동구 동남로81길 82 2층(고덕동)|
영일태권도예절관||02-854-5259|서울특별시 구로구 가리봉동 8-1|
아이태권도장||031-901-9399|경기도 고양시 일산동구 숲속마을로 44 501호~504호(풍동, 풍동미래타원 5층)|
한국체대천마태권도장||031-977-8803|경기도 고양시 일산동구 탄중로 324 3층(중산동)|
박영우YTA태권도장||031-924-3939|경기도 고양시 일산서구 대산로 113 205호(주엽동,백마프라자 2층)|
용인대박사백호태권도장||031-265-2805|경기도 용인시 수지구 정평로 40-1 502호, 503호(풍덕천동, 거묵상가1 5층)|
용인대신일태권도장||031-266-7755|경기도 용인시 수지구 신봉2로 71 3층(신봉동, 태천빌딩)|
고려오감태권도||031-272-8895|경기도 용인시 수지구 신봉2로 15 201호(신봉동, 홍천말프라자2동 2층)|
HS비전태권도장||031-263-9003|경기도 용인시 수지구 현암로 15 3층(죽전동, 경빌딩)|
경희대원일태권도장||031-263-4523|경기도 용인시 수지구 신봉2로14번길 8 301호(신봉동,백산빌딩 3층)|
백호태권도||032-583-1005|인천광역시 남동구 호구포로 911 5층(간석동,신영빌딩)|
국가대표코리아태권도|||인천광역시 남동구 논고개로 71 1101호(논현동,가산타워)|
루루태권도장||031-502-6167|경기도 안산시 상록구 중보로 23 501호, 502호(이동)|
경희대한울태권도장||031-366-4626|경기도 화성시 행정중앙2로 16 201호(향남시범넓은들마을우미린아파트상가 2층)|
월드태권도||031-641-2336|경기도 이천시 설장로 13-1 2층|
MTA대성태권도장||031-631-8088|경기도 이천시 서희로71번길 23 1층(창전동)|
국가대표태권도1관|||경기도 이천시 청백리로 71 3층|
푸른솔태권도||031-841-8428|경기도 양주시 부흥로 2021-7 303호, 304호(고읍동, TS푸른솔1차아파트상가동 3층)|
석사경희화창태권도장||031-474-3493|경기 안양시 만안구 안양로 512 2층(석수동)|
경희대전진태권도장||02-2066-7775|서울특별시 구로구 개봉로2길 133-25 2층(개봉동)|
국가대표 나래 태권도 교육관 태권도장||02-997-7360|서울특별시 노원구 초안산로5길 12 월계프라자 4층(월계동)|
경희대신화 태권도장||02-303-0501|서울특별시 서대문구 북가좌동 307-34 4층|
지웰MTA태권도||043-233-0757|충청북도 청주시 흥덕구 복대동 288-15 흥복드림몰 601호|
석호창조태권도장||031-408-9596|경기도 안산시 상록구 네고지2길 20 1층(사동)|
경희대성호태권도장||031-416-0579|경기도 안산시 상록구 호동로 66 2층(일동)|
우석태권도장||031-411-6722|경기도 안산시 단원구 초지로 94 한솔프라자 5층 501호, 502호(초지동)|
국가대표부부태권스쿨||031-318-3336|경기도 시흥시 수인로3413번길 33 3층(신천동,가원빌딩)|
경희대슈퍼아이태권도||031-982-0709|경기도 김포시 김포한강9로 73 김포센트럴프라자 7층 704호(구래동)|
한국체대드림태권도장||031-982-6664|경기도 김포시 사우중로73번길 16 영프라자 3층 303호(북변동)|
여주종합태권도장||01091244954|경기도 여주군 청심로 197-8 2층(상동)|
경희대석사대왕태권도장||031-211-7524|경기도 수원시 팔달구 중부대로 194 2층(인계동,승원빌딩)|
갈뫼경희태권도장||031-421-0980|경기도 의왕시 갈미로 34 반도보라빌리지2단지상가 2층 201호(내손동)|
용인대효예태권도장||031-452-8969|경기도 의왕시 오전천로 52 301호(오전동, 민들레베스파트 3층)|
경희대정도태권도장||031-225-7940|경기도 수원시 권선구 곡선로50번길 45-4 5층(곡반정동)|
키즈석사태권도장||031-255-5244|경기도 수원시 장안구 조원로 112번길 35 301호(조원동, 창흥빌딩 3층)|
경희대금호태권도장||031-308-9595|경기도 수원시 권선구 호매실로 218번길 128 501호(호매실동, 아트프라자 5층)|
경희대파란태권도장||031-217-7891|경기도 수원시 영통구 에듀타운로 25 303호(이의동, 명품프라자 3층)|
경희대석사전진효태권도장||031-269-8388|경기도 수원시 장안구 정자로144번길 38 3층(정자동)|
비상태권도장||031-213-8884|경기도 수원시 영통구 인계로 239 지층(매탄동,매탄성일아파트제1상가)|
궐동국가대표용인대태권도장||031-373-1516|경기도 오산시 궐리사로 44 창용빌딩 4층(궐동)|
중앙경희태권도장||031-376-0055|경기도 오산시 성호새싹길 11 2층(오산동)|
국가대표차오름태권도장||031-253-3833|경기도 수원시 장안구 파장로 53 4층(정자동, 정자벽산블루밍상가)|
경희대석사한일태권도장||031-253-7688|경기도 수원시 장안구 경수대로976번길 22 303호~305호(조원동,한일타운상가 5층)|
대건태권도장|||대구광역시 동구 동호로 132 상가 310/301(신서동,영조아름다운나날3단지)|
명품 홍익태권도장||052-297-0500|울산광역시 중구 종가로 735 301호(장현동)|
용인대삼우태권도장||031-445-6175|경기도 의왕시 포일로 43 206호(내손동,대림프라자 2층)|
경희대솔밭태권도장||0432677799|충청북도 청주시 흥덕구 대농로 48 LK타워 703호(복대동)|
오창월드태권도장|||충청북도 청주시 청원구 오창읍 2산단로 136 2층|
한결태권도장||031-575-5644|경기도 남양주시 별내5로5번길 3 502호 (별내동, 마들프라자 5층)|
경희대아이사랑태권도장||031-275-7770|경기도 용인시 기흥구 기흥로116번길 102 401호 (언남동,초원마을성원상떼빌아파트 상가동 4층)|
타이곤태권도장||031-337-1888|경기도 용인시 처인구 백옥대로1414번길 8 2층(유방동,태권빌딩)|
용인대T.F태권도장||031-986-0992|경기도 김포시 유현로33번길 36-12 3,4층(풍무동)|
현대힘찬태권도장||031-997-5556|경기도 김포시 청송로 26 305호(장기동,청송현대쇼핑센타 3층)|
STM상무태권도장||031-975-8831|경기도 고양시 일산동구 중산로 244 502호 503호 (중산동, 고은프라자 5층)|
월드클래스태권도장||0319818090|경기 김포시 봉화로182번길 29 대우아파트 상가동 2층 201,209호(북변동, 대우아파트)|
아카데미태권도장||055-333-1708|경상남도 김해시 활천로208번길 59 어방종합상가 A동 201호(어방동)|
수남태권도장||055-339-1222|경상남도 김해시 율하1로 154 109호 (율하동)|
율하황제태권도장||055-332-3070|경상남도 김해시 율하2로 55 푸르지오1차상가 (율하동)|
우리태권도장||055-331-1137|경남 김해시 삼계로 30 3층 301호(구산동)|
한솔태권도장||055-311-8411|경상남도 김해시 장유로 180 401호, 402호(부곡동)|
부곡태권도장||055-335-0798|경상남도 김해시 월산로 140 103호(부곡동)|
서울태권도장||055-327-4725|경상남도 김해시 구산동 257번지 백조상가 3층 1호|
힘찬태권도장||055-327-7797|경상남도 김해시 삼안로235번길 9 (삼방동)|
동림빛고을태권도||5310123|광주 서구 동천동 518|
연세맑음샘태권도장||062-654-0040|광주 서구 금호동 243-6 거북빌딩 201|
고산태권도장||772-4598|제주 제주시 한경면 고산리 2408-3|
부천태권도||032-325-9697|경기 부천시 원미구 중4동 1028-1번지 3층|
용인대챔피언태권도||243-4143|경기 수원시 장안구 영화동 424-1번지 3층|
인성경희대태권도||031-202-6010|경기 수원시 영통구 망포동 690번 LG2차 상가3층 301호|
연세대태랑태권도||0318533038|경기 의정부시 민락동 732-1번지 e프라자원 303호|
광주백두태권도||763-5991|경기 광주시 곤지암읍 곤지암리 445-1번지 2층|
찬란한태권도장||031-997-0079|경기 김포시 풍무동 428번지 B동|
경희대효(孝)태권도||032-661-0013|경기 부천시 소사구 송내동 373번지 6층 604호|
동아태권도장||053-802-1288|경북 경산시 대평동 428-1번지 대평그린빌상가 201호|
안성용인대태권도|||경기 안성시 금광면 신양복리 홍익아파트 상가3층|
지행태양태권도||864-4416|경기 동두천시 지행동 289-1번지|
태비태권도||032-324-9047|경기 부천시 원미구 중4동 1030 금강마을 복합상가 지층|
한국체대천지태권도||032-679-0096|경기 부천시 오정구 원종1동 281-1 진주상가 2층|
용인대태풍태권도장||032-322-7089|경기 부천시 원미구 상동 395번지 반달마을 삼익상가 3층 304호|
즐거운태권도||032-348-8111|경기 부천시 소사구 괴안동 삼익세라믹아파트 1,2차상가 203,204호|
고려대한얼태권도장||242-1980|경기 수원시 장안구 영화동 431-1번지 2층|
태권짱||754-9552|경기 성남시 수정구 수진동 4426번지|
서울석사태권도|||경기 성남시 분당구 정자동 111번지 LG 종합상가 201호|
한국경희대태권도장||215-0675|경기 수원시 영통구 매탄2동 1211 한국2차A상가 2층 203호|
용인대효천태권도체육관||268-2258|경기 수원시 장안구 정자동 천천2지구 919 한라비발디단지내상가 3층|
경희대월드태권도체육관||212-0772|경기 수원시 팔달구 우만동 49-1|
경희대석사창용태권도장||255-9364|경기 수원시 장안구 연무동 234-1|
매여울경희대태권도||216-7802|경기 수원시 팔달구 인계동 384 래미안노블클래스 1단지 상가 3층|
경희대서평체육관||292-5162|경기 수원시 권선구 서둔동 17-65번지|
한양대21세기태권도||382-7770|경기 안양시 동안구 관양1동 1397-8번지 303호|
경희대석사정민태권도||466-5026|경기 안양시 만안구 안양5동 708-196 성원상떼빌6단지 상가3층|
용인대석사성일체육관||2685-6049|경기 광명시 광명동 352-14 로얄프라자 4층|
용인대유대태권도체육관||032-662-6564|경기 부천시 원미구 중동 707-2 4층|
용인대청산K타이거즈||031-797-0021|경기 광주시 곤지암읍 447-3 동신빌딩 204호|
에이스태권도||866-5062|경기 동두천시 생연동 에이스아파트상가 3층|
최강태권도체육관||572-3536|경기 남양주시 진접읍 부평리 599-9번지 상가건물 4층|
원미창조태권도||0326642007|경기 부천시 원미구 심곡동 800 하나리아벨 2층 202호|
강서 효||2649-1254|서울 강서구 등촌2동 514-7|
동화태권도체육관||832-3030|인천 연수구 옥련동 194-107 3층|
연세태권스쿨||863-5137|인천 서구 석남동 593번지|
정무태권도장||581-4443|인천 서구 가정동 505번지 3층|
연세대튼튼아이태권도체육관||568-8400|인천 서구 연희동 802-1번지B102호|
경희대정우태권도장||031-222-2561|경기 화성시 병점동 317-3번지 명신프라자 제비동 402-403호|
경희대금메달태권도||02-899-2772|경기 광명시 하안동 광명e-편한세상동부센츠레빌 단지내 상가 나-301호|
영재태권도교육관||0318646464|경기 동두천시 송내동 695-1번지 금빌딩 5층|
금강태권도2관||282-8850|울산광역시 북구 매곡동 625-1번지 월드프라자 상가 3층 305호|
차오름태권도||748-7997|강원도 원주시 오리현길 54(반곡동)|
아이캔태권도장||832-8444|전북 익산시 부송동 제일5차 A상가 3층|
교육관효도태권도||742-6543|강원 원주시 백간길 63 2층(단계동, 세경3차아파트)|
용인대서원태권도장||744-6668|강원도 원주시 진광길 26(우산동)|
해찬솔태권도||401-9418|광주광역시 동구 남문로693번길 11 상가동 2층|
일등태권도||512-1285|광주 서구 동천동 602 한빛건물 3층 302|
삼정대명태권도||052-277-5642|울산 울주군 청량면 삼정리 774-3번지 2층|
국가대표경희대소하태권도|||경기 광명시 소하2동 903-5|
광명용인대삼손태권도장||804-0050|경기 광명시 하안동 주공고등2단지 교육센터 4층|
경희대태권도장천사총본관||2615-1494|경기 광명시 광오로 35 2층(광명동)|
나사렛태권도스쿨||055-551-9444|경상남도 진해시 경화로 30번길 38 10번지|
문태권도교육관||263-7002|경상남도 창원시 성산구 동산로 124 성원주상가 613-2번지|
용인대금호태권도||335-7989|경남 김해시 장유면 신문리 527번지 쌍용예가아파트상가 113-301호|
한국체대건강한태권도||637-9971|경남 거제시 고현동 178-2번지|
FOR ALL 태권도||043-848-0329|충북 충주시 연수로2길 2 3층(연수동)|
고려금빛태권도장||043-873-0537|충북 음성군 음성읍 읍내리 353-11 태영A상가 201호|
송암박사 태권도장||462-6615|전라남도 영암군 세가래로 46-8|
예승태권체육관||212-8588|울산 울주군 범서읍 천상리 21B3 - 1L|
구영예승체육관||052-246-8878|울산 울주군 범서읍 구영리 378-1번지 6층|
온누리체육관||752-3313|대구 수성구 범어4동 330번지|
아이세상태권도||584-1288|대구 달서구 이곡동 1244번지 1002호|
세심태권도장||043-535-0119|충북 진천군 광혜원면 광혜원리 426-1 1층|
계명대미소태권스쿨||269-5070|울산 남구 삼산동 1465-1번지 2층|
원진태권스쿨||655-0912|대구광역시 달서구 두류동 779-5|
용인대 아리랑||2232-3555|서울특별시 중구 신당6동 291-29번지 3층|
298포병대대||061-390-2911||
한국체대 광장 태권도||433-7079|서울특별시 광진구 광장동 258-36 2층|
용인대삼성||957-7759|서울특별시 동대문구 용두동 792 래미안@상가 5층|
국방지형정보단||||
스타 태권도||541-8246|대전광역시 유성구 교촌동 624-24번지 2층|
바람소리강용도장||054-974-9831|경상북도 칠곡군 약목면 관호리 923-10번지|
육군제1군사령부근무지원단||||
육군제1군사령부1야전수송단||0334306554||
육군제11기계화보병사단보급수송대대||033-430-6447||
육군제11기계화보병사단화생방지원대||||
육군제1군수지원사령부31보급대대||033-746-2085||
육군제1군수지원사령부11급양대||||
육군제1군수지원사령부2급양대||982-1950||
육군제1군수지원사령부13보급대대||||
육군제3기갑여단정보통신중대||||
육군제1군사령부1107공병단||||
육군제1군사령부1107공병단130환경대대||033-343-0965||
육군제1군사령부11통신단61통신대대||01067957305||
육군제1군사령부11통신단111통신대대||||
육군제1군사령부11통신단112통신대대||033-740-6932||
육군제8군단1170공병단||033-670-4679||
육군제8군단8특공대대||0336733347||
육군제8군단헌병대||||
육군제22보병사단55연대1대대||||
하랑||070-7583-5354|서울 도봉구 방학동 690 2층|
경희대 인성태권도||691-1236|전남 여수시 웅천동 1696-3번지 304호|
무덕 태권도||642-8878|전남 여수시 국동 709-1|
송용주경희대석사체육관||031-256-5452|경기 수원시 장안구 파장동 281번지|
힘찬태권도||5824521|부산 금정구 구서동 203-19|
용인대밝은태권도장||625-1880|전라북도 남원시 요천로 1300번지 상가 201호|
청주대석사월드태권도||296-4006|충북 청주시 흥덕구 분평동 1250-24번지 3층|
성저태권도||925-0078|경기 고양시 일산서구 대화동 2033-203번지|
군사안보지원사령부||02-731-3895||
계명대이지태권도||633-8344|대구 달성군 화원읍 본리리 109-1|
블랙벨트 태권스쿨||684-3334|전남 여수시 소호동 431-12번지|
연세대호|||경기 고양시 덕양구 행신동 성원상가 2층|
파파태권도교육센터||972-0584|경기 고양시 덕양구 행신동 697번지 무원마을 201,202호|
청명태권도체육관||202-0595|경기 수원시 영통구 영통동 957-6번지 삼익벽산아파트상가 208호|
나호승태권도아카데미|||경기 수원시 영통구 망포동 651-1번지|
고려대승리태권도||278-0013|경기 수원시 권선구 금곡동 245-3번지|
한라용인대체육관|||경기 수원시 권선구 세류1동 230-42번지|
수원용인대화랑태권도||202-6109|경기 수원시 영통구 영통동 1053-2번지|
맹호경희대체육관||244-4122|경기 수원시 팔달구 지동 123-3번지|
경희대재현태권도체육관||246-4178|경기도 수원시 장안구 경수대로1081번길 35(파장동)|
이박사경희대태권도장||297-1997|경기도 수원시 권선구 금곡로73번길 33(금곡동)|
국군수도병원||031-725-6173||
성라태권도|||경기 고양시 덕양구 성사동 731번지 신원당마을(6단지상가) 302호|
강철학운태권도||984-7009|경기 김포시 양촌면 학운리 2824번지 101호|
경희석사백호태권도||675-2117|경기 부천시 오정구 여월동 334-1번지 여월프라자 5층 501호|
서현교경희대석사태권도장||899-0023|경기 광명시 하안동 707-9 현대상가 3층|
청록태권도|||경기 시흥시 정왕동 1874-2호 화성아파트|
치평태권도장||062-381-8555|광주광역시 서구 치평동 1159 우미@상가 205호|
서림태권도||062-515-8608|광주광역시 북구 임동 104-8 한국아델리움2창 201호|
승리체육관||031-952-7970|경기도 파주시 연풍5길 1|
미동태권도장||031-915-7778|경기도 고양시 일산서구 주화로 210 302호(대화동, 우리프라자 3층)|
용인대석사홍스태권도장||031-917-0807|경기도 고양시 일산서구 강선로 96 201호(주엽동, 강선마을상가동 2층)|
삼송경호태권도장||02-354-1191|경기도 고양시 덕양구 동산2로 1 401호(동산동, 현대프라자 4층)|
고양비전태권도장||0319681635|경기도 고양시 덕양구 마상로113번길 75 202,203호(주교동, 신진빌딩)|
경희대동산태권도장||023881010|경기도 고양시 덕양구 세솔로 25 208호(동산동, 동산마을22단지 호반베르디움상가 2층)|
오산마루한태권도장||031-375-3283|경기도 오산시 경기대로 99-17 305호(원동, 삼환아파트상가 3층)|
경희대나우태권도도장||031-374-8384|경기도 오산시 부원로 67-3 201호(원동 2층)|
왕호랑이태권도도장||031-377-9878|경기도 오산시 남부대로 327 501호(원동, 리치벤프라자 5층)|
올바른매홀태권도장||031-376-2256|경기도 오산시 매홀로 71 201호(수청동, 오산대우아파트제2상가동 2층)|
제석태권도장||062-676-2222|광주광역시 남구 봉선로 55 2층 204호(주월동, 이지더원아파트2단지)|
경희대영웅태권도도장||031-375-1511|경기도 오산시 오산로 160번길 7 301호(원동,원동GMATE 3층)|
드림경희대태권도장||031-611-6131|경기 오산시 궐리사로29번길 18 (궐동)|
MTA독수리태권도도장||031-376-8686|경기도 오산시 갈곶동 152-11 독수리태권도장|
골든킥태권도장||031-298-7688|경기도 수원시 권선구 금곡로 116 601호(금곡동,유동타워 6층)|
용인대서호태권도장||031-291-7404|경기도 수원시 권선구 서호동로14번길 35 2층(서둔동)|
경희대박사문무태권도장||031-244-7213|경기도 수원시 팔달구 팔달문로 149 2층(우만동)|
용인대석사청호태권도장||031-372-3446|경기도 오산시 동부대로 332-10 202,203,205,206,207,301호(청호동,오산자이상가동)|
KTI청옥태권도||031-684-2777|경기도 평택시 청북남로 277 201호, 202호(부영사랑으로 상가동 2층)|
한국키즈태권도||031-664-8005|경기도 평택시 경기대로 1177(장당동, 평택장당3차우미이노스빌상가 201호)|
현무태권도장||02-2060-5004|경기 광명시 도덕로38번길 10 2층(광명동, 청운빌딩)|
늘푸른태권도||031-717-9098|경기도 성남시 분당구 정자일로 121 상가동 H1~H3호(정자동, 더샾스타파크)|
글로벌박사경희대태권도장||031-396-3100|경기도 군포시 부곡동 1219, 501호 502호(웅신프라자 5층)|
수원석사경희대태권도장||031-232-3477|경기도 수원시 권선구 권중로 110 205호(권선동,보성유원아파트상가 2층)|
부천명문태권도||673-4477|경기 부천시 오정구 삼정동 296번지 13호|
한국체대다윗태권도||684-7123|경기 부천시 오정구 고강동 380-3번지 3층|
고려대태권스쿨||668-3249|경기 부천시 원미구 심곡동 153-10번지 2층|
태권도필승도장||674-9141|경기 부천시 오정구 원종동 372번지 5호|
용인대한미태권도||840-1155|경기 양주시 고읍동 439-2|
대훈광백태권도장||진879-2778|경기 양주시 백석읍 오산리 538-9 2층|
아이신성태권도장||883-7658|경기 여주군 가남면 심석리 118 세광리치빌 타운상가 4층|
여주하나태권도장||883-3913|경기 여주군 여주읍 월송리 127-9 2층|
용인대성동태권도장||653-8766|경기 평택시 합정동 833번지|
경희대반송태권도장||613-2201|경기도 화성시 메타폴리스로 38 (반송동)|
용인대장안태권도||358-6997|경기도 화성시 우정읍 조암리 793-1번지 2층 2호|
화성용인대태풍태권도||278-5511|경기 화성시 봉담읍 동화리봉담택지개발지구 C-9블럭 제이스프라자 603호|
화성한국키즈태권도||226-7887|경기 화성시 봉담읍 와우리 589번지 봉담 그대가 3단지 근린생활시설1동 2층|
경희대국가대표||871-2442|경기 의정부시 회룡로105번길 20 2층(호원동)|
한반도태권도장||055-232-5340|경남 창원시 마산회원구 내서읍 호계리 307-3 태양빌딩 2층|
키즈태권도현대체육관||0315117600|경기 남양주시 평내동 택지개발지구 45-1BL|
남양주나토얀태권도||031-511-5955|경기 남양주시 호평동 168-30|
인성태비태권도||731-0123|경기 성남시 중원구 상대원동 1402번지 2층|
해광경희대태권도||437-9288|경기 군포시 대야미동 9블럭 8롯트 현대프라자 302호|
용인대화랑태권도||252-2204|경기 수원시 팔달구 세지로 430 (우만동) 2층|
용인대명인태권도||269-6262|경기도 수원시 장안구 대평로51번길 56, 4층 404호(정자동, 한국(아)상가)|
용인대한호태권도장||292-6541|경기도 수원시 권선구 여기산로 54, 상가동 2층 1,2호(서둔동)|
경희대석사천하태권도||296-7111|경기 수원시 권선구 탑동 835-4번지|
용인대신성태권도장||423-3977|경기 의왕시 청계동 991-1 대맥프라자 5층 504, 505호|
연세충무체육관||664-6530|경기도 평택시 지산로 101, 2층(독곡동,대림상가)|
경희대석사승리태권도장||356-9034|경기도 화성시 석교로157번길 6-8|
비룡태권도||903-0055|경기도 고양시 일산동구 숲속마을로 49(풍동,3층)|
화랑태권도||031-531-0996|경기 남양주시 진접읍 부평리 615-1번지 지상2층|
멘토태권도장||883-1130|인천 남구 용현2동 572-3  3층|
아라한||2679-0435|서울특별시 영등포구 선유로51길 27-1|
경희대석사삼성태권도장||0234426490|서울특별시 강남구 청담동 34-9|
용인대충효태권도||522-0987|충남 천안시 동남구 신방동 193-1호 화우빌딩 4층|
에이스태권도장||833-1107|전북 익산시 어양동 106번지|
꿈나무태권도장||032-347-8782|경기 부천시 소사구 범박동 152-2번지 현대홈타운제상가동 3층 301호|
경희대석사명학태권도||468-2429|경기 안양시 만안구 안양동 388-11번지|
경원대성우태권도장||634-2272|경기 이천시 부발읍 아미리 677-5|
구미중앙체육관||715-8044|경기 성남시 분당구 구미동 205-5 브니엘프라자 401호|
이매경희대태권도||031-709-8588|경기 성남시 분당구 이매동 120-3번지 청학빌딩 3층 304, 305호|
승리태권도||736-4515|경기 성남시 수정구 양지동 851번지 3층|
용인대일죽태권도||672-9992|경기 안성시 일죽면 송천리 244-5번지|
경희대파워태권도||957-9100|경기 파주시 금촌동 989-6번지 우성메디피아 503, 504호|
백석튼튼태권도||904-6646|경기 고양시 일산동구 백석동 1452번지 2호 대호빌딩 4층|
태안태권도장||222-3348|경기 화성시 병점동 835번지 1호 403호|
글로벌경희대태권도체육관||269-4222|경기도 수원시 장안구 만석로19번길 11-3(천천동, 태영프라자-503)|
경희대석사모란체육관||432-1357|경기 시흥시 정왕동 1875-2번지 미주아파트 상가 3층|
분당용인대석사태권도||705-8883|경기 성남시 분당구 이매동 115-5번지 한라프라자 401호, 402호|
경희성웅태권도장||425-8836|경기 의왕시 내손2동 677-10 가동 2층|
한국체대진접태권도||574-7411|경기 남양주시 진접읍 해밀당로3로 52(금곡리 1096번지) 6층 602, 603호|
대일경희대태권도||255-5000|경기 부천시 원미구 상동 392 한아름상가 301호|
홍익태권도||651-1034|경기 부천시 소사구 송내동 587-3번지|
해동청체육관||070-8771-5875|경기 부천시 오정구 원종동 131-4번지|
경희대석사화랑체육관||0313873613|경기도 안양시 동안구 관평로327번길 29, 2층(관양동)|
경희대거인체육관||394-9966|경기 군포시 산본동 1146-7번지 302호|
경희대펀태권도||666-7657|경기도 부천시 소사구 중동로71번길 43(송내동)|
경희대석사경무태권도||248-1674|경기 수원시 장안구 정자동 297-4 경남프라임코아 501호|
주공태권도|||경기 고양시 일산동구 숲속마을1로 76 힘찬프라자 7층 702호, 703호(풍동, 힘찬프라자)|
한국체대태권도장||976-3232|경기 고양시 일산동구 중산동 1691번지 거풍프라자 501호|
석사중산체육관||976-4538|경기 고양시 일산동구 중산동 1580번지 3호 중산타운 4층|
경희대리더스GYM||031-966-4890|경기도 고양시 일산동구 위시티2로 43 2층(식사동)|
경희대효동태권도체육관||395-1616|경기도 군포시 광정로 59(산본동)|
한양태권도체육관||656-8630|경기 부천시 소사구 송내동 609번지 10호|
경희대한국태권도체육관||917-5533|경기 고양시 일산서구 일산동 1054-1번지 현대프라자|
SKY현대태권도||977-7790|경기 고양시 일산동구 중산동 1813번지 조은프라자 801호|
한국체대올림픽태권도장||031-203-0771|경기 수원시 영통구 영통동 955-5번지|
한국체대신동태권도||212-2279|경기 수원시 영통구 매탄동 1352번지|
대호태권도장||216-2641|경기도 수원시 영통구 매영로 84, 상가동2층 209호(매탄동, 한국2차(아))|
용인대청룡태권도|||경기 수원시 영통구 매탄동 810-3번지|
용인대CJsmile태권||031-254-5235|경기 수원시 장안구 정자동 383번지 범야상가3층 304호|
부곡경희대석사태권도||461-2466|경기도 의왕시 까치골길 20(삼동)|
서교경희대스포츠클럽||031-976-0688|경기 고양시 일산서구 일산동 1673-1번지 5층|
동화태권도장||758-2666|제주 제주시 화북1동 12-4 화북주공APT 4단지 상가(지하)|
국군대전병원||042-878-4671||
스타클래스|||경기도 고양시 일산동구 위시티4호, 305호(식사동, 위시티일산자이4단지 상가)|
한양대승리태권도장||521-5347|인천 부평구 부흥로327번길 13 (부평동)|
ABC 태권스쿨||725-7879|전라남도 순천시 연향2로 55, 303-2|
서희 태권도||642-1052|전남 여수시 국동 서희A상가 A동 3층 303호|
국군함평병원||061-390-5512||
국군대구병원||0537505019||
국군청평병원||01045330771||
국군고양병원||||
제777부대||||
태극태권도 옥산관||812-2772|경북 경산시 옥산동 884-4번지 해오름아파트 104동 2층 201호|
부산협회 체육관|||부태제 12-97호 공문의거 ID발급|
경희석사효태권도||575-9442|경기도 남양주시 진건오남로 512번길 23, 3층|
국군부산병원||051-730-5712||
국군논산병원||||
국군원주병원||033-740-1713||
국군일동병원||031-531-0803||
