bztypName|pobsAfstrName|pobsBaseAddr|pobsDtlAddr|pobsGnrlTelno
편의점|세븐일레븐 청담그린점|서울특별시 강남구 도산대로 81길39 (청담동)|(주)코리아세븐 청담그린점|025493378
편의점|세븐일레븐 청담대우점|서울특별시 강남구 도산대로99길 26(청담동 1층 102호)|(주)코리아세븐 청담대우점|025111052
편의점|세븐일레븐 청담루나점|서울특별시 강남구 학동로523|(주)코리아세븐 청담루나점|025407632
편의점|세븐일레븐 청담좋은날점|서울특별시 강남구 영동대로128길 5, 청구A101호(삼성동,청구상가)|세븐일레븐 청담좋은날점|025161022
편의점|세븐일레븐 청담튼튼병원점|서울특별시 강남구 학동로97길 20(청담동 청담빌딩 1층)|(주)코리아세븐 청담튼튼병원점|15770711
편의점|세븐일레븐 청담황해점|서울특별시 강남구 삼성로 149길32 (청담동)|세븐일레븐 청담황해점|025428120
편의점|세븐일레븐 포스코센터점|서울특별시 강남구 삼성로 85길11(대치동 롯데캐슬아파트 생활편익시설동)|(주)코리아세븐 포스코센터점|15770711
편의점|세븐일레븐 포이4호점|서울특별시 강남구 개포20길24-16(개포동)|포이4호점|025296516
편의점|세븐일레븐 학동사거리점|서울특별시 강남구 도산대로 335|(주)코리사세븐 학동사거리점|025117453
편의점|세븐일레븐 학동점|서울특별시 강남구 논현로124길 27(논현동)|세븐일레븐 학동점|0222328172
편의점|세븐일레븐 한신점|서울특별시 강남구 테헤란로322(역삼동 한신인터밸리24상가 103호)|(주)코리아세븐 한신점|0221830029
편의점|세븐일레븐(역삼해피점)|서울특별시 강남구 언주로 107길29 (역삼동)|세븐일레븐(역삼해피점)|025017626
편의점|세븐일레븐1809호점|서울특별시 강남구 선릉로641 (논현동)|코리아세븐1809호점|025403234
편의점|세븐일레븐43호점|서울특별시 강남구 논현로720(논현동)|세븐일레븐43호점|025431676
편의점|세븐일레븐개포1호점|서울특별시 강남구 선릉로48 (개포동)|코리아세븐개포1호점|025753224
편의점|세븐일레븐개포2호점|서울특별시 강남구 개포로512(개포동)|코리아세븐개포2호점|0222265564
편의점|세븐일레븐논현13호점|서울특별시 강남구 학동로43길14 (논현동)|논현13호점|025168286
편의점|세븐일레븐논현2호점|서울특별시 강남구 언주로712 (논현동)|코리아세븐논현2호점|025161936
편의점|세븐일레븐논현6호점|서울특별시 강남구 도산대로46길11 (논현동)|코리아세븐논현6호점|025129702
편의점|세븐일레븐논현경복점|서울특별시 강남구 봉은사로43길21(논현동)|(주)코리아세븐논현경복점|15770711
편의점|세븐일레븐논현스타점|서울특별시 강남구 봉은사로1길42(논현동)|세븐일레븐논현스타점|025417358
편의점|세븐일레븐논현중앙점|서울특별시 강남구  선릉로129길 20(논현동)|세븐일레븐논현중앙점|15770711
편의점|세븐일레븐논현중앙점|서울특별시 강남구 선릉로129길20 (논현동)|코리아세븐논현중앙점|025423579
편의점|세븐일레븐논현학나래점|서울특별시 강남구 강남대로136길7(논현동)|(주)코리아세븐논현학나래점|025119752
편의점|세븐일레븐논현한어울점|서울특별시 강남구 학동로12길47(논현동)|(주)코리아세븐논현한어울점|025115802
편의점|세븐일레븐대치3호점|서울특별시 강남구 삼성로151 (대치동)|코리아세븐대치3호점|025678206
편의점|세븐일레븐대치4호점|서울특별시 강남구 남부순환로2921 (대치동)|코리아세븐대치4호점|15770711
편의점|세븐일레븐대치6호점|서울특별시 강남구 삼성로 85길19(대치동)|코리아세븐대치6호점|0234534752
편의점|세븐일레븐대치7호점|서울특별시 강남구 삼성로 86길16(대치동)|코리아세븐대치7호점|025664895
편의점|세븐일레븐대치공원점|서울특별시 강남구 삼성로 63길21(대치동)|대치공원점|025689642
편의점|세븐일레븐대치나인점|서울특별시 강남구 테헤란로 64길14 (대치동, 더 나인 오피스텔 1층)|세븐일레븐대치나인점|025554397
편의점|세븐일레븐대치점|서울특별시 강남구 남부순환로3032 (대치동)|코리아세븐대치점|025625921
편의점|세븐일레븐도곡2호점|서울특별시 강남구 남부순환로365길38 (도곡동)|코리아세븐도곡2호점|0234631686
편의점|세븐일레븐르네상스점|서울특별시 강남구 테헤란로37길15 (역삼동)|르네상스점|025646833
편의점|세븐일레븐삼성5호점|서울특별시 강남구 봉은사로 114길40 (삼성동)|코리아세븐삼성5호점|15770711
편의점|세븐일레븐수서사이룩스점|서울특별시 강남구 광평로295 (수서동)|세븐일레븐수서사이룩스점|0262518600
편의점|세븐일레븐신사5호점|서울특별시 강남구 강남대로162길45 (신사동)|(주)코리아세븐신사5호점|025159732
편의점|세븐일레븐역삼14호점|서울특별시 강남구 논현로 105길53 (역삼동)|(주)코리아세븐역삼14호점|025564105
편의점|세븐일레븐역삼22호점|서울특별시 강남구 언주로71길9(역삼동)|(주)코리아세븐역삼22호점|025685803
편의점|세븐일레븐역삼5호점|서울특별시 강남구 역삼로151(역삼동)|코리아세븐역삼5호점|025572625
편의점|세븐일레븐역삼8호점|서울특별시 강남구 강남대로102길11  (역삼동)|코리아세븐역삼8호점|0234529302
편의점|세븐일레븐역삼개나리점|서울특별시 강남구 역삼로306(역삼동, 개나리래미안 상가1동 108호)|(주)코리아세븐역삼개나리점|025658024
편의점|세븐일레븐역삼보브점|서울특별시 강남구 봉은사로 114역삼동|세븐일레븐역삼보브점|07044024799
편의점|세븐일레븐역삼지에프씨점|서울특별시 강남구 테헤란로152, B2층 강남파이낸스센터(역삼동)|세븐일레븐역삼지에프씨점|07041527111
편의점|세븐일레븐역삼코넬점|서울특별시 강남구 언주로 93길28-8(역삼동 코넬빌딩 1층)|(주)코리아세븐역삼코넬점|025019658
편의점|세븐일레븐포이3호점|서울특별시 강남구 논현로 12길19-9(개포동)|세븐일레븐포이3호점|025714934
편의점|세븐일레븐포이5호점|서울특별시 강남구 개포로 24길6(개포동)|(주)코리아세븐포이5호점|0234620956
편의점|세븐일레븐포이사거리점|서울특별시 강남구 개포로209(개포동)|세븐일레븐포이사거리점|025738873
편의점|세븐일레븐포이중앙|서울특별시 강남구 논현로 18길14-1(개포동)|세븐일레븐포이중앙|07042559131
그 외 기타 스포츠시설 운영업|세븐클루스 강남1호점|서울특별시 강남구 테헤란로2길 8 (역삼동)|지하 1층|0220380159
그 외 기타 스포츠 서비스업|세븐클루스 강남2호점|서울특별시 강남구 강남대로 432 (역삼동, 점프밀라노)|6층|07089546561
일반미용업|세븐홀릭|서울특별시 강남구 테헤란로39길 68 (역삼동)|1층|025014001
미용|세비야이발관|서울특별시 강남구 개포로 207 (개포동)|1층102호|-
한식|세석정|서울특별시 강남구 역삼로14길 10 (역삼동)|세석정|025550964
피부관리,체형,화장품|세스티끄선정릉본점|서울특별시 강남구 봉은사로 310(역삼동)|7층|025685776
식육판매|세습한우맛드림|서울특별시 강남구 선릉로 225 (도곡동)|도곡렉슬상가B139호 세습한우맛드림|025712678
치과의원|세시간치과|서울특별시 강남구 학동로 215 (논현동)|(CL타워) 8층|025080333
주방용품|세신유통|서울특별시 강남구 개포로 615 (개포동)|석탑프라자 112호|-
화초 및 식물 소매업|세실훌라워|서울특별시 강남구 삼성로119길 21, 1층 (삼성동)|세실훌라워|020000000
직장|세아별어린이집|서울특별시 강남구 영동대로 325 (대치동, 해암빌딩)|2층 세아별 어린이집|025537212
안경|세안안경원|서울시 강남구 언주로 211|영동세브란스지하2층|0234631001
내과|세연내과의원|서울특별시 강남구 논현로 340 (역삼동)|정빌딩 2층|025674305
일반과|세연마취통증의학과|서울특별시 강남구 강남대로 616(신사동)|지하 1층 세연마취통증의학과의원|025139100
타일위생기|세연타일상사(주)|서울특별시 강남구 학동로26길 25 (논현동)|2층,삼화빌딩|025478724
도배, 실내 장식 및 내장 목공사업|세움|서울특별시 강남구 논현로 616 (논현동)|3층(논현동, 대일빌딩)|-
부동산 중개 및 대리업, 컨설팅, 경매|세움공인중개사사무소|서울특별시 강남구 강남대로 464 (역삼동)|4층 423호(우편물은 3층 우편물보관실 423호 보관함)|-
보습학원|세이노학원|서울특별시 강남구 삼성로63길 5 (대치동)|2층 세이노학원|025618971
카페|세이레스커피|서울특별시 강남구 봉은사로68길 11(삼성동)|1층 세이레스커피|-
한식|세이로켄마|서울특별시 강남구 테헤란로81길 48(삼성동)|1층|025391529
서양식 음식점업|세이버리(Savory)|서울특별시 강남구 테헤란로19길 21 1층|세이버리|0200000000
전자상거래업 등|세이브앤코|서울특별시 강남구 논현로158길 28 (신사동)|2층|0262041023
일반병원|세이지의원|서울특별시 강남구 테헤란로 528 (대치동)|10층 1001호|025653326
커피 전문점|세이프토피아|서울특별시 강남구 봉은사로 613 108-9 캡스건물 1층 세이프토피아|세이프토피아|020000000
침구소품판매|세인(SEINN)|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|2층 236호(대치동, 은마상가 비블럭)|-
세탁업|세일세탁|서울특별시 강남구 자곡로 260 (자곡동, 강남한양수자인아파트)|상가동 104호(자곡동,강남수자인)|024458380
전자기기 수리, 전자상거래, 택배보관|세일즈엣|서울특별시 강남구 봉은사로78길 11-2 (삼성동, 르비앙.휴)|1층|-
일반음식점|세자매복집|서울시 강남구 선릉로127길 6|1층|025453338
부동산자문및중개업|세종공인중개사무소|서울특별시 강남구 언주로134길 37 (논현동)|101|025440369
부동산중개업|세종공인중개사사무소|서울특별시 강남구 학동로12길 21 (논현동)|1층|-
교육관련 자문 및 평가업|세종비추얼진로적성연구소|서울특별시 강남구 언주로 118 (도곡동, 우성캐릭터199)|2513호|025728630
일반 교과학원|세종수학과학전문학원|서울특별시 강남구 도곡로73길 13 (대치동)|3층|025637108
골프연습장|세종스크린골프|서울특별시 강남구 광평로51길 22 (수서동, 한아름아파트)|상가 지하1층|024511100
포장공사등|세종실업(주)|서울특별시 강남구 양재대로33길 26 (일원동)|102호|025210321
인쇄,출판,광고대행|세종컴퍼니주식회사|서울특별시 강남구 논현로16길 14-3 (개포동)|세종컴퍼니주식회사|025734954
부동산중개업|세진공인중개사사무소|서울특별시 강남구 선릉로 40 (개포동)|2층|025721270
공인중개사|세진공인중개사사무소|서울특별시 강남구 선릉로130길 57 (삼성동)|106호|025178959
약국,건강식품,임대업|세진약국|서울특별시 강남구 압구정로36길12|세진약국|-
한식 일반 음식점업|세청집|서울특별시 강남구 논현로71길 31 1층 세청집|세청집|020000000
안경|세컨글라스 안경원|서울특별시 강남구 강남대로94길 75 (역삼동)|1층 세컨글라스안경원|025612777
까페|세컨드 라이브러리|서울특별시 강남구 영동대로137길 6 (청담동)|백송빌딩 102호|025431278
시각 디자인업|세컨드그래픽|서울특별시 강남구 영동대로131길 20 (청담동)|2층 222호|-
카페|세컨디너|서울특별시 강남구 언주로85길 32 (역삼동)|푸르지오시티 상가1층 204호 세컨디너|07086140709
서양음식점|세컨디포레스트가로수길점|서울특별시 강남구 강남대로162길 32 (신사동)|1층|025440978
악세서리 내의, 스포츠|섹시쿠키 강남지하점|서울특별시 강남구 테헤란로 101|강남지하상가 B-18호|-
양약,의료기기|센느약국|서울시 강남구 테헤란로4길6|122호|025012450
한식|센도수산|서울특별시 강남구 역삼로65길 15 (대치동)|1층|025692016
일반음식점업|센민이자카야|서울특별시 강남구 테헤란로25길 35 (역삼동)|1층 센민이자카야|025558160
직업운동가|센소리온 감각발달연구소|서울특별시 강남구 언주로30길 13(도곡동, 대림아크로빌, 대림아크로텔)|c동 20층 2007호|-
시계, 귀금속|센스보석|서울특별시 강남구 선릉로 314 (대치동)|104호|025650272
의류|센시(sensi)|서울특별시 강남구 학동로101길 26 (청담동)|삼익상가1층145호|-
피부 미용업|센앤분|서울특별시 강남구 봉은사로43길 56, 1,2층 (논현동)|센앤분|020000000
기타 주점업|센야|서울특별시 강남구 역삼로9길 25 (역삼동)|1층|-
의료|센텀메디의원|서울특별시 강남구 선릉로63길 9 (역삼동)|백림빌딩2층 센텀메디의원|025520700
수학학원|센텀수학학원|서울특별시 강남구 역삼로64길 26 (대치동)|2층|025641030
동물병원|센트럴동물병원|서울시 강남구 도곡로 510|1층9호|-
부동산|센트럴부동산|서울특별시 강남구 삼성로119길 14 (삼성동)|105|0220388949
약국|센트럴약국|서울특별시 강남구 봉은사로 211 (논현동)|그림바우빌딩1층 센트럴약국|5491210
커피 전문점|센트럴커피|서울특별시 강남구 테헤란로20길 14, 1층 102호 (역삼동)|센트럴커피|020000000
필라테스|센트리얼필(주)강남구청|서울특별시 강남구 학동로 337 (논현동)|지하2층|025153707
필라테스|센트리얼필(주)선릉|서울특별시 강남구 선릉로 429 (역삼동)|지하1층|025554945
꽃, 관엽|센트플라워|서울특별시 강남구 논현로94길 32 (역삼동)|1층|-
일반 교과학원|센티움학원|서울특별시 강남구 압구정로36길 22-4, 1층,2층,3층,4층 (신사동)|센티움학원|020000000
독서실 운영업|셀독24 스터디카페|서울특별시 강남구 도곡로22길 5, 2층 (도곡동)|셀독24 스터디카페|020000000
커피숍|셀란|서울특별시 강남구 테헤란로28길 3-4 (역삼동)|블루밍하우스 1층|07072042500
귀금속|셀러버(CELL-LOVER)|서울특별시 강남구 남부순환로 지하 2814 (도곡동)|여성창업플라자 204호|025763883
수제버거|셀러브리티버거스테이지|서울특별시 강남구 도곡로63길 25 (대치동)|1층|025588245
커피전문점|셀렉토커피  삼성역점|서울특별시 강남구 영동대로85길 28 (대치동)|1층 대치동 성원타워|025557156
커피|셀렉토커피 역삼점|서울시 강남구 역삼로3길 11|1층 1호|025389792
의류|셀리나|서울특별시 강남구 개포로82길 13-9 (개포동)|세종빌딩 110호|0222269340
외국어학원|셀리즈클래스|서울특별시 강남구 남부순환로363길 12-9(도곡동)|2층|025726320
그 외 기타 분류 안된 상품 전문 소매업|셀린뷰티|서울특별시 강남구 테헤란로14길 8 (역삼동)|13층 1328호|-
피부과|셀린피부과의원|서울특별시 강남구 학동로 215 (논현동)|CL타워 603호 셀린피부과의원|025161211
화장품, 비누 및 방향제 소매업|셀비오 (청담점)|서울특별시 강남구 삼성로149길 3-12(청담동)|1층|025161714
화장품/피부미용|셀앤비에스테틱|서울특별시 강남구 테헤란로 322 (역삼동)|한신인터밸리24 2층 230호|025386002
피부미용|셀앤비에스테틱 강남점|서울특별시 강남구 강남대로84길 15 (역삼동)|효성해링턴타워더퍼스트 2층211호|025676008
화장품|셀큐티스코리아|서울특별시 강남구 테헤란로 406 (대치동)|A동 901호|0262073397
음료 소매업|셀프와인청담점|서울특별시 강남구 선릉로138길 6 (청담동, 지하1층)|셀프와인청담점|020000000
두발 미용업|션헤어|서울특별시 강남구 도산대로30길 29-7, 지상1층 (논현동)|션헤어|020000000
인쇄업|셰인코리아|서울특별시 강남구 강남대로156길 24 (신사동)|유진빌딩 201호|0264673399
음료식품|셰프스토리|서울특별시 강남구 개포로 411 (개포동, 우성8차아파트)|802동 411호|-
한식|셰프의육개장|서울특별시 강남구 언주로153길 11|지상1층|-
한식|소, 돼지 불맛집|서울특별시 강남구 논현로95길 29 (역삼동)|1층|-
한식 일반 음식점업|소가횟집|서울특별시 강남구 논현로30길 25 (도곡동)|지상1층(도곡동)|025746509
미용|소감|서울특별시 강남구 압구정로 334 (신사동)|지상2층  205, 206호|0260128562
한식|소곱당|서울특별시 강남구 강남대로114길 10(논현동)|102호 소곱당|-
한식|소공동 뚝배기|서울시 강남구 봉은사로37길 28|1층 소공동 뚝배기(논현동)|-
한식|소공동뚝배기|서울시 강남구 봉은사로114길 38|지상1층104|-
한식|소공동뚝배기|서울시 강남구 영동대로86길 27|소공동뚝배기(대치동)|025625147
한식|소공동뚝배기집|서울시 강남구 선릉로 153길 21|지하1층 소공동뚝배기집(신사동)|025129923
공인중개|소금재공인중개사사무소|서울시 강남구 일원로5길 52|1층|0234144412
의류|소금창고|서울특별시 강남구 남부순환로363길 12-31 (도곡동)|1층 소금창고|0234622860
보육|소꿉어린이집|서울특별시 강남구 개포로 516 (개포동, 주공아파트)|603동108호|0234626223
디저트|소나 (SONA)|서울특별시 강남구 강남대로162길 40 (신사동)|2층|-
기타 자동차 신품 부품 및 내장품 판매업|소나기커스텀|서울특별시 강남구 자곡로3길 21 (자곡동, 엘에이치강남힐스테이트)|502동 927호|0260533583
한식|소나무|서울특별시 강남구 압구정로28길 22-9 (신사동)|1층|-
한식|소나무식당|서울시 강남구 영동대로96길 37|지하1층|025544161
일반음식|소나무야|서울시 강남구 영동대로138길 19|1,2층|025411004
양약한약의료기기|소나무약국|서울특별시 강남구 개포로 220 (개포동)|104호|025726409
의류 전자상거래업|소나이(Armadio di Sonai)|서울특별시 강남구 봉은사로114길 30-5 (삼성동)|1층 제 102호|0234531218
전자상거래 소매업|소네트|서울특별시 강남구 봉은사로24길 17 (역삼동)|1층101호|07076614673
커피|소노야|서울시 강남구 강남대로390|강남역지하|025680014
일식|소노야|서울특별시 강남구 선릉로 660(삼성동, 브라운스톤 레전드)|1층 109호|025155136
간이음식|소노야 강남역점|서울특별시 강남구 강남대로 지하 396 (역삼동)|지하1층 28호|025680014
일식|소노이에|서울특별시 강남구 역삼로 135 (역삼동)|1층 101호|025585579
한식 음식점업|소담|서울특별시 강남구 개포로 615 (개포동)|지하115호(개포동, 석탑프라자)|0234140010
한식|소담|서울특별시 강남구 선릉로130길 57 (삼성동)|1층|025127795
한식|소담골|서울특별시 강남구 봉은사로114길 30-5 (삼성동)|평화빌딩 1층|027808558
한식 일반 음식점업|소담골|서울특별시 강남구 봉은사로114길 30-5 (삼성동)|평화빌딩 1층|025539292
한식|소담길|서울시 강남구 테헤란로25길 15-10|지상1층 102호|025548043
분식|소담분식|서울특별시 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)|지하 102호|025571929
약국|소담약국|서울특별시 강남구 테헤란로 337 (역삼동)|1층 소담약국|025529593
한식|소담채|서울특별시 강남구 테헤란로 322 (역삼동)|지하2층 B133호|0221832333
그 외 기타 종합 소매업|소도 와인|서울특별시 강남구 영동대로85길 34 (대치동)|대치 아이파크 2차, 205호|025560515
분식|소디프|서울특별시 강남구 역삼로64길 5(대치동, 럭스빌)|102호|025691180
한식 일반 음식점업|소라네|서울특별시 강남구 개포로 623, 지하1층 113, 114호 (개포동, 대청타워)|소라네|020000000
김밥 및 기타 간이 음식점업|소라야|서울특별시 강남구 선릉로86길 6-6, 지하1층 (대치동)|소라야|020000000
양식|소로길|서울시 강남구 논현로149길52(논현동)|1층|07077620518
기타 기술 및 직업 훈련학원|소리로 한글|서울특별시 강남구 테헤란로64길 9(대치동, 선릉역대우아이빌)|7층 920호|-
이비인후과|소리이비인후과|서울특별시 강남구 학동로 435 (청담동)|2층|025425222
실용음악학원|소리잔보컬학원|서울특별시 강남구 논현로97길 14 (역삼동)|소리잔보컬학원|025393992
보청기, 의료용품|소리케어보청기|서울특별시 강남구 학동로 435 (청담동)|3층|025425975
음악학원|소리피아노교습소|서울특별시 강남구 남부순환로363길 12-31 2층|소리피아노교습소|020000000
휴게음식점|소림마라 강남점|서울특별시 강남구 역삼로88길 11 (대치동)|지하1층01호|0200000
기타 음ㆍ식료품 위주 종합 소매업|소마|서울특별시 강남구 삼성로 520 (삼성동)|1층|025686222
주류, 식품, 잡화|소마|서울특별시 강남구 삼성로 520 (삼성동)|삼성동|025686222
한식|소마역삼점|서울시 강남구 테헤란로27길 12|소마|025613737
요가|소마요가무브먼트|서울특별시 강남구 남부순환로359길 30 (도곡동)|402회|-
기원 운영업|소마테라피|서울특별시 강남구 광평로 295 (수서동)|8층 15호|-
화장품 및 화장용품 도매업|소마힐링요가필라테스교정센터신사점|서울특별시 강남구 도산대로6길 15, 201호 (논현동, 평화빌딩)|소마힐링요가필라테스교정센터신사점|020000000
공인중개사|소망공인중개사무소|서울특별시 강남구 개포로 508 (개포동)|104호 소망부동산|0234118383
부동산중개업|소망공인중개사사무소|서울특별시 강남구 도산대로11길 5 (신사동)|1층|025437044
김밥 및 기타 간이 음식점업|소망김밥|서울특별시 강남구 압구정로36길 34 101호|소망김밥|020000000
분식|소망김밥|서울특별시 강남구 일원로 지하 2 (일원동)|337-102호|0222265871
의약품|소망약국|서울특별시 강남구 테헤란로87길 13 (삼성동)|서영빌딩 1층|02556806
이비인후과|소망이비인후과|서울시 강남구 일원로 39(일원동)|대원빌딩 3층|0222265055
정형외과|소망정형외과의원|서울특별시 강남구 개포로 506 (개포동)|청우빌딩 301호|024455588
빵류, 과자류|소망제이앤피보호작업장|서울특별시 강남구 언주로159길 15 (신사동)|나동 1층|0234458450
한식|소문난바지락칼국수|서울시 강남구 삼성로 321|소문난 바지락 칼국수|-
분식|소문난우동|서울특별시 강남구 양재대로55길 5 (일원동)|지상1층|-
한식|소문난집|서울시 강남구 선릉로 664|108호|025449257
기타대형소매업|소문난할인마트|서울시 강남구 언주로114길 9|소문난할인마트|025186787
한식|소미앤수육국밥|서울특별시 강남구 강남대로150길 10 (논현동)|1층3호|025449789
미용|소민헤어뷰티|서울특별시 강남구 학동로55길 12(청담동)|소민헤어뷰티|-
일식 음식업|소바텐|서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)|미도상가 지하1층 81호 소바텐|025578087
한식|소반애 들깨수제비|서울특별시 강남구 남부순환로363길 12-3 (도곡동)|103호 소반애 들깨수제비|0220573555
반찬류 즉석제조판매, 한식|소반애찬|서울특별시 강남구 남부순환로363길 12-7 (도곡동)|소반애찬|025795355
버섯|소백산유통|서울특별시 강남구 강남대로128길 20|23호|025150503
제과점|소보로빵집|서울특별시 강남구 선릉로130길 57 (삼성동)|소보로빵집|025150085
치킨|소보루 치킨|서울특별시강남구 개포로 109길 5|104호|0222265092
전자상거래 소매업|소봄|서울특별시 강남구 논현로155길 30-6 (신사동)|디지빌 202호|-
한식|소사면옥|서울특별시 강남구 봉은사로26길 23 (역삼동)|지하|025558344
상품 종합 도매업|소서컴퍼니|서울특별시 강남구 선릉로86길 38 (대치동)|773호|-
그 외 기타 분류 안된 사업 지원 서비스업|소소룸|서울특별시 강남구 논현로79길 62(역삼동)|702호 (백악빌딩)|-
한식|소소한 브라더|서울특별시 강남구 테헤란로 322 (역삼동)|한신인터밸리 B119호|0221838959
조화 소품 등|소소한 어느날|서울특별시 강남구 역삼로 433-6 (대치동, jungs ville)|402호|-
커피|소소한구움|서울시 강남구 강남대로122길30-10|1층101호|-
일식|소소한식당|서울특별시 강남구 광평로19길 15 (일원동, 목련타운아파트)|상가동 지하1층 7호|0234119901
일식 음식점업|소소한식당|서울특별시 강남구 삼성로61길 22 (대치동)|지상1층 103호|-
한식|소소한식당 대치본점|서울특별시 강남구 삼성로 319 (대치동)|1층 (대치동 , 금강빌딩)|025662260
서양음식점|소스|서울특별시 강남구 삼성로146길 4 (청담동)|1층|025183177
한식 음식점업|소야지|서울특별시 강남구 자곡로 204-5 (자곡동)|지웰홈스 1층 상가|0230139292
한식|소연|서울특별시 강남구 봉은사로84길 24-2 (삼성동)|소연|025774490
생화|소예꽃과정원|서울특별시 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)|1층 상가 106호|025691088
한의원|소요클리닉|서울특별시 강남구 도산대로 317 (신사동)|호림아트센터 5층|025118686
피부과|소요클리닉|서울특별시 강남구 도산대로45길 6 (신사동)|호림아트센터 5층|025110050
한식 식육판매업|소우락도곡점|서울특별시 강남구 도곡로 218 (도곡동)|1층 소우락|025759510
카페,빙수|소운빙|서울특별시 강남구 선릉로68길 9 (대치동)|921-17 1층 103호|025393455
커피|소운빙 개포동역점|서울특별시 강남구 개포로82길 7 (개포동)|삼성빌딩  105호|0224522121
퓨전요리|소울담은퓨전요리|서울특별시 강남구 영동대로96길 37 (삼성동)|2층 202호 소울담은퓨전요리|025088708
일식|소울밤|서울특별시 강남구 강남대로122길 10 (논현동)|6층 소울밤|-
피부 미용업|소울스파|서울특별시 강남구 언주로172길 11 모모빌딩4층 소울스파|소울스파|020000000
피부 미용업|소울케어|서울특별시 강남구 학동로101길 26, 지상1층 178호 (청담동, 청담 삼익상가)|소울케어|020000000
통신기기 소매업|소원인터내셔널|서울특별시 강남구 봉은사로114길 38 (삼성동)|소원인터내셔널|025087383
중식|소윤화|서울특별시 강남구 강남대로94길 59 (역삼동)|1층소윤화|5651318
피부미용 화장품|소율스파|서울특별시 강남구 테헤란로 322 (역삼동)|지상1층 231호(한신인터밸리24빌딩)|025595353
약국|소은약국|서울특별시 강남구 도산대로50길 9 (논현동)|청석빌딩1층|0234435561
기타 미용업|소이네일(SO2-NAIL)|서울특별시 강남구 논현로85길 52 (역삼동)|2층 203-1호|-
태국음식|소이연남 마오|서울특별시 강남구 도산대로53길 30 (신사동)|1층 소이연남 마오|025455130
보습학원|소이연논구술학원|서울특별시 강남구 도곡로 522 (대치동)|삼현빌딩4층|025550703
음악학원|소이클리닉수학교습소|서울특별시 강남구 선릉로66길 8 (대치동)|202호|-
기관 구내식당업|소이푸드|서울특별시 강남구 영동대로 318 지하2층 소이푸드|소이푸드|020000000
꽃|소인플레르|서울특별시 강남구 논현로47길 13 (도곡동)|1층 꽃집|025738501
단팥죽|소적두압구정|서울특별시 강남구 압구정로46길 5-2|1층 104호,105호|0234434433
치과의원|소중치과의원|서울특별시 강남구 도산대로57길 13-4 (청담동)|4층 소중치과|025120283
치과의원|소중한치과|서울특별시 강남구 역삼로4길 22 (역삼동)|연우빌딩 2층|025672824
한의원|소통의행복 안성민한의원|서울특별시 강남구 강남대로 528 (논현동)|3층 안성민한의원|0234448275
잡화|소품집|서울특별시 강남구 압구정로50길 28 (신사동, 로데오현대아파트)|현대로데오상가 1층 114A호 소품집|025432429
휴게음식|소풍|서울특별시 강남구 선릉로 737|B동 지하1층 103호|07042255005
한식|소풍가는날|서울특별시 강남구 논현로 213 (도곡동, 역삼럭키아파트)|역삼럭키아파트상가105호|07075437258
분식|소풍가는날 두번째이야기|서울시 강남구 개포로 25길 7|1층 101호|0264036353
한식|소풍김밥전문점|서울특별시 강남구 논현로176길 28 (신사동)|101호|025187122
상업용 사진 촬영업|소프유스튜디오|서울특별시 강남구 언주로135길 32-9(논현동)|지하1층|-
의류 가방|소피아|서울특별시 강남구 삼성로 212 (대치동, 은마아파트)|에이 159|-
기타 교육지원 서비스업|소피아 프렙 유학원(Shophia Prep)|서울특별시 강남구 언주로174길 17 서우빌딩 3층 소피아프렙|소피아 프렙 유학원(Shophia Prep)|020000000
사진촬영업|소호스튜디오|서울특별시 강남구 선릉로 719|1층 102호 및 지하1층(논현동)|025147315
생화|소호앤노호 삼성점|서울특별시 강남구 삼성로107길 23(삼성동)|1층|025645233
제과점업 커피 생화|소호앤노호 아미엘리|서울특별시 강남구 도산대로50길 8 (논현동)|1층|025472389
한식|속리산 염소요리 전문점|서울특별시 강남구 논현로71길 8 (역삼동)|1층|0234529282
의류|속옷사장|서울특별시 강남구 양재대로55길 6 (일원동)|105호|024511240
분식|속이꽉찬만두99.9|서울특별시 강남구 삼성로75길 26 (대치동)|102호|0260159919
한식|속초 붉은대게|서울시 강남구 테헤란로25길 31|지상1층|025570979
횟집|속초청정물회|서울시 강남구 역삼로52길 14|도곡프라자 115호|025623365
상품 종합 중개업|속초코다리냉면 역삼점|서울특별시 강남구 테헤란로 152,|B1층 (역삼동, GFC센터)|0200000000
일반 교과학원|손경순|서울특별시 강남구 자곡로 21 205동|1403호|0200000000
임대|손경순|서울특별시 강남구 학동로 342 (논현동)|1115호|-
일반 교과학원|손과학에스학원|서울특별시 강남구 역삼로64길 18, 2층 3층 301호 (대치동)|손과학에스학원|020000000
일반 교과학원|손과학케이학원|서울특별시 강남구 도곡로63길 34, 4층 401호 2층 201호 (대치동, 요안빌딩)|손과학케이학원|020000000
일반 교과 학원|손과학학원|서울특별시 강남구 역삼로64길 12 (대치동)|한마루빌딩 2층 손과학학원|025541330
네일 미용|손끝감성네일|서울특별시 강남구 테헤란로 147 (역삼동)|성지하이츠2 , 지하1층 12호|-
