##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@고시원
하이원리빙텔||||고시원|02-2603-0015||서울시 강서구 화곡동 899-10|||||||하이원리빙텔||||70205
엘리트원룸텔||||고시원|02-585-5514||서울 서초구 서초동 1628-11|||||||엘리트원룸텔||||70205
등용고시원||||고시원|02-2607-1122|서울시 강서구 화곡로 137||||||||등용고시원|(구: 서울시 강서구 화곡3동 1066-1)|||70205
한샘고시원||||고시원|02-2232-0017||서울시 동대문구 신설동 103-1|||||||한샘고시원|동일빌딩 3층|||70205
마이홈리빙텔|매봉점|||고시원|02-2057-2011||서울시 강남구 도곡2동 412-6|||||||마이홈리빙텔 매봉점||||70205
심플하우스|길동사거리점|||고시원|02-471-0770||서울 강동구 길동 236-7|||||||심플하우스 길동사거리점||||70205
리베하우스|노량진점|||고시원|02-812-5733||서울 동작구 노량진1동 우성아파트상가동 3층 |||||||리베하우스 노량진점||||70205
진솔고시원||||고시원|031-429-0321|경기도 안양시 동안구 호계동 엘에스로 34||||||||진솔고시원||||70205
아이원/원룸텔||||고시원|02-322-8188||서울 마포구 서교동 362-2|||||||아이원 원룸텔||||70205
캡슐하우스||||고시원|02-3394-7110||서울 동대문구 답십리1동 99-6|||||||캡슐하우스|국민은행 건물 4층|||70205
로하스원룸텔||||고시원|02-2633-1988||서울시 영등포구 양평동3가 7-1|||||||로하스원룸텔|월아빌딩 2층|||70205
건대역원룸텔||||고시원|02-463-2700||서울시 광진구 화양동 46-3|||||||건대역원룸텔||||70205
심플하우스원룸텔||||고시원|02-422-5203||서울 송파구 송파동 187-1|송파||||||심플하우스원룸텔|( 2,3층)|||70205
아트빌고시텔||||고시원|02-2245-5155||서울 동대문구 전농동 127-75|||||||아트빌고시텔||||70205
게스트원룸텔||||고시원|02-838-1114||서울시 금천구 가산동 239-12|||||||게스트원룸텔||||70205
그린빌고시텔||||고시원|02-511-3380||서울 강남구 논현동 273-16|||||||그린빌고시텔||||70205
예일고시텔||||고시원|02-322-9828||서울 서대문구 창천동 53-15|||||||예일고시텔|(3~4층)|||70205
하나고시원||||고시원|02-886-6062|서울시 관악구 청룡2길 29||||||||하나고시원|(서울시 관악구 봉천동 921-1)|||70205
탑레지던스|용산점|||고시원|02-701-9337|서울 용산구 원효로 2가 91-5||||||||탑레지던스 용산점|4,5층|||70205
현대리빙텔||||고시원|032-323-8228||경기도 부천시 원미구 상동 458|||||||현대리빙텔||||70205
클린리빙텔||||고시원|02-931-2701||서울시 노원구 상계2동 409-15|||||||클린리빙텔||||70205
부천/삼성리빙텔||||고시원|032-614-9425||경기도 부천시 원미구 심곡동 146-15|||||||부천 삼성리빙텔||||70205
시티타운||||고시원|031-244-7979||경기도 수원시 팔달구 매산로2가 65-50|||||||시티타운|시티타운|||70205
웰컴투고시텔||||고시원|031-551-3610||경기도 구리시 수택3동 849-5|구리시||||||웰컴투고시텔|5층|||70205
미아원룸텔||||고시원|02-980-2631||서울시 강북구 미아동 75-9|||||||미아원룸텔|3.4층|||70205
루빙하우스||||고시원|031-574-2022||경기도 남양주시 오남읍 오남리 683-27|||||||루빙하우스|대웅프라자501호|||70205
웰빙원룸텔||||고시원|031-378-3379||경기도 오산시 내삼미동 852-4|||||||웰빙원룸텔|(도로명 : 수청로50번길 27)|||70205
세종리빙텔||||고시원|02-539-1128||서울시 강남구 역삼동 789-21|||||||세종리빙텔|서강빌딩|||70205
미래고시텔||||고시원|02-555-9664||서울 강남구 대치동 961-5|||||||미래고시텔||||70205
파크빌원룸텔|신천역점|||고시원|02-424-5600||서울시 송파구 잠실동 185-9|||||||파크빌원룸텔 신천역점||||70205
탑고시텔||||고시원|02-976-7770||서울시 노원구 공릉2동 441-152|||||||탑고시텔||||70205
코엠리빙텔|노량진점|||고시원|02-815-3442||서울 동작구 노량진2동 28-6|||||||코엠리빙텔 노량진점|(노량진로 90-1)|||70205
쉐르빌하우스||||고시원|02-568-0743|서울시 강남구 논현로 79길 62||||||||쉐르빌하우스|(서울시 강남구 역삼동 828-53)|||70205
탑레지던스||||고시원|02-883-0881||서울시 관악구 봉천동 883-1|||||||탑레지던스||||70205
성전하우스|부평점|||고시원||||||||||성전하우스 부평점||||70205
허브리빙텔||||고시원|02-3482-2080||서울 동작구 사당동 141-177|||||||허브리빙텔|(사당로29가길 47) 광성빌딩 4층|||70205
심플하우스|부천역점|||고시원|032-656-7942||경기도 부천시 원미 심곡2동 192-5|||||||심플하우스 부천역점||||70205
스카이고시텔||||고시원|02-815-1511||서울 동작구 노량진동 52-14|||||||스카이고시텔||||70205
심플하우스원룸텔|양재점|||고시원|02-2057-7911||서울 서초구 양재동 278-2|||||||심플하우스원룸텔 양재점||||70205
휴먼빌원룸텔||||고시원|02-456-0727||서울시 광진구 구의동 53-10|||||||휴먼빌원룸텔||||70205
하이고시텔||||고시원|031-311-4373||경기도 시흥시 신천동 707-10|||||||하이고시텔|3층|||70205
영레지던스||||고시원|032-819-1664||인천 연수구 연수동 508-8|||||||영레지던스||||70205
화인하우스||||고시원|031-878-3352||경기도 의정부시 의정부동 136-6|||||||화인하우스||||70205
팰리스/리빙텔||||고시원|031-265-3282||경기 용인시 보정동 1261-1|||||||팰리스 리빙텔||||70205
뉴.캐슬리빙텔||||고시원|02-815-0122||서울시 동작구 노량진동 323|||||||뉴.캐슬리빙텔|우성상가 1층|||70205
한빛고시원||||고시원|02-972-3003||서울시 노원구 공릉동 408-138|||||||한빛고시원||||70205
압구정레지던스||||고시원|02-3446-5558||서울특별시 강남구 신사동 564-4|||||||압구정레지던스|3층|||70205
수정여성전용고시텔||||고시원|02-926-3579||서울 성북구 동선동1가 84-1번지동양빌딩4층 |||||||수정여성전용고시텔||||70205
쏘울레지던스|종로점|||고시원|02-2266-5886||서울시 종로구 관수동 154-1|||||||쏘울레지던스 종로점||||70205
라임하우스|노량진/상도점|||고시원|02-823-0043||서울 동작구 상도2동 156-9|||||||라임하우스 노량진/상도점|(동작구 노량진동)|||70205
싱글하우스고시원||||고시원|031-468-0662||경기도 안양시 만안구 안양8동 574-1|||||||싱글하우스고시원||||70205
늘푸른고시원||||고시원|031-451-7753||경기도 안양시 동안구 호계동 996-2|||||||늘푸른고시원||||70205
골든하우스||||고시원|02-576-7373||서울 강남구 개포 4동 1188-1|||||||골든하우스||||70205
삼성리빙텔|고대점|||고시원|02-926-3556||서울시 동대문구 제기동 137-41|||||||삼성리빙텔 고대점||||70205
휴레지던스||||고시원|02-322-8832||서울시 마포구 연남동 226-34|||||||휴레지던스||||70205
메이저고시텔||||고시원|055-336-2850||경남 김해시 어방동 520-11|||||||메이저고시텔||||70205
프라하/원룸텔||||고시원|02-516-0310||서울 서초구 잠원동 39-5|||||||프라하 원룸텔|3층|||70205
삼성레지던스||||고시원|031-918-4030||경기도 고양시 일산구 주엽동 18-1|||||||삼성레지던스|동문씨티프라자 7층|||70205
뷰레지던스||||고시원|031-826-3373||경기 의정부시 의정부2동 439-25|||||||뷰레지던스|(신흥로258번길 35)|||70205
장원원룸텔||||고시원|02-2066-8038||경기도 광명시 광명3동 143-6|||||||장원원룸텔|(오리로984번길 17)|||70205
아모르빌고시텔||||고시원|02-821-2624||서울시 동작구 노량진동 221-3|||||||아모르빌고시텔|(만양로13길 44 )|||70205
아이비하우스/원룸텔||||고시원|032-421-7113||인천시 남동구 구월동 1174-13|신설||||||아이비하우스 원룸텔||||70205
유빈하우스||||고시원|02-579-9991||서울시 강남구 도곡동 942-8|||||||유빈하우스||||70205
홍대앞/여성전용/형진고시텔||||고시원|02-323-3292||서울시 마포구 서교동 409-10|||||||홍대앞 여성전용 형진고시텔||||70205
모모레지던스고시텔||||고시원|032-551-6224||인천 계양구 계산1동 944-5|||||||모모레지던스고시텔||||70205
마이홈고시텔/태평역||||고시원|031-721-3005||경기도 성남시 수진동 3028|||||||마이홈고시텔 태평역||||70205
쉐르빌고시텔||||고시원|02-464-3854||서울시 광진구 군자동 346-22|||||||쉐르빌고시텔||||70205
옥스포드고시텔||||고시원|010-8363-7600||서울특별시 동작구 노량진동 216-8|||||||옥스포드고시텔|(만양로 50)|||70205
나무그늘원룸텔||||고시원|02-401-5576||서울 송파구 가락2동 124-7|||||||나무그늘원룸텔||||70205
웰컴고시원||||고시원|02-555-6090||서울 강남구 대치3동 961-11|||||||웰컴고시원|서울빌딩 3층|||70205
풀하우스||||고시원|02-393-7202||서울시 서대문구 대현동 110-1|||||||풀하우스|(도로명 : 신촌역로 31번지 )|||70205
그린빌레지던스||||고시원|02-2608-8893||서울시 양천구 신정4동 886-1|||||||그린빌레지던스||||70205
싱글하우스||||고시원|02-6959-2229||서울시 강남구 신사동 619-1|||||||싱글하우스|상민빌딩 3,4,5층 (강남구 언주로 171길 16)|||70205
21세기고시원||||고시원|02-713-8691||서울 용산구 갈월동 71-35|숙대입구역||||||21세기고시원||||70205
cmdplus||||고시원|02-523-8631|||||||||cmdplus||||70205
