##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@PACADEMY
#신나는피아노음악학원||||음악/미술학원||울산광역시 남구 옥현로 92-17||1|학교교과교습학원;예능(대);음악;예능(중)|||||#신나는피아노음악학원|2층,201호 (무거동)|||20309
M&S수학과학전문학원||||일반학원|052-289-1035|울산광역시 북구 염포로 663||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||M&S수학과학전문학원|2층 (염포동)|||20315
MERIX해법수학예일학원||||일반학원||울산광역시 북구 화산로 14||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||MERIX해법수학예일학원|휴먼프라자 302호 (화봉동)|||20315
NEWTOPCLASS입시학원||||일반학원|052-288-3656|울산광역시 북구 화봉로 87-1||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||NEWTOPCLASS입시학원|(2층) (화봉동)|||20315
N수학학원||||일반학원|052-282-1500|울산광역시 북구 신천로 55-22||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||N수학학원|407호 (신천동,신천수테라스타운)|||20315
SUN단과전문학원||||일반학원||울산광역시 북구 달천로 15||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||SUN단과전문학원|고은빌딩 2층 (천곡동)|||20315
SunnyhillEnglish어학원||||외국어학원|052-282-7913|울산광역시 북구 매산로 27||7|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||SunnyhillEnglish어학원|1층 (매곡동)|||20305
Y수학전문학원||||일반학원|052-296-3321|울산광역시 북구 아진로 106-2||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||Y수학전문학원|2층일부 (천곡동)|||20315
강동윈디무용학원||||취미학원||울산광역시 북구 산하중앙3로 2||5|학교교과교습학원;예능(대);무용;예능(중)|||||강동윈디무용학원|601호 (산하동)|||20313
강동음악학원||||음악/미술학원||울산광역시 북구 산하중앙3로 2||2|학교교과교습학원;예능(대);음악;예능(중)|||||강동음악학원|407호 (산하동)|||20309
강동이에스엘/어학원||||외국어학원|052-296-0579|울산광역시 북구 강동산하3로 37||7|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||강동ESL 어학원||강동이에스엘(ESL)어학원|301호 (산하동)|||20305
강동캠퍼스삼성영어학원||||일반학원|010-2124-7321|울산광역시 북구 산하중앙3로 68||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||강동캠퍼스삼성영어학원|2층 (산하동)|||20315
강여진무용학원||||취미학원|052-288-3334|울산광역시 북구 상방로 147||2|학교교과교습학원;예능(대);무용;예능(중)|||||강여진무용학원|4층일부 (연암동)|||20313
강한케이/단과학원||||일반학원||울산광역시 북구 가재길 82||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||강한K 단과학원||강한케이(K)단과학원|601호 (천곡동,리더스빌딩)|||20315
경성O2독서실||||독서실|052-287-4877|울산광역시 북구 염포로 659||2|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||경성O2독서실|(3층) (염포동)|||20317
경성단과전문학원||||일반학원|052-287-1747|울산광역시 북구 염포로 655||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||경성단과전문학원|(염포동)|||20315
계명피아노학원||||음악/미술학원|052-288-1415|울산광역시 북구 화산로 19||2|학교교과교습학원;예능(대);음악;예능(중)|||||계명피아노학원|상가동 204호 (화봉동,화봉휴먼시아아파트)|||20309
고대학원||||일반학원|052-281-5600|울산광역시 북구 매곡본길 23||10|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||고대학원|2,3층 (매곡동)|||20315
고연학원||||일반학원||울산광역시 북구 달천로 15||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||고연학원|301호 (천곡동)|||20315
골든벨독서실||||독서실|052-286-7877|울산광역시 북구 마동로 12||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||골든벨독서실|2층 (호계동)|||20317
공터영어화봉학원||||외국어학원||울산광역시 북구 통샘9길 4-1||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||공터영어화봉학원|2층 (화봉동)|||20305
그루스터디센터독서실||||독서실||울산광역시 북구 화봉로 58||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||그루스터디센터독서실|201-1호 (연암동,신화프라자)|||20317
그린아트음악학원||||음악/미술학원|052-286-8339|울산광역시 북구 천곡남로 34||3|학교교과교습학원;예능(대);음악;예능(중)|||||그린아트음악학원|쌍용아진그린타운4차상가 301호 (천곡동)|||20309
그림세계미술학원||||음악/미술학원|052-286-9922|울산광역시 북구 호계로 313||3|학교교과교습학원;예능(대);미술;예능(중)|||||그림세계미술학원|성우현대아파트 상가 201호 (신천동)|||20309
그림속아이들보습미술학원||||음악/미술학원|052-282-8881|울산광역시 북구 천곡길 131||5|학교교과교습학원;예능(대);미술;예능(중)|||||그림속아이들보습미술학원|3층일부 (천곡동)|||20309
그림아트스튜디오학원||||음악/미술학원|052-294-5111|울산광역시 북구 달천로 11||3|학교교과교습학원;예능(대);미술;예능(중)|||||그림아트스튜디오학원|102호 (천곡동)|||20309
그림안에서미술학원||||음악/미술학원|052-288-9777|울산광역시 북구 두부곡4길 8||2|학교교과교습학원;예능(대);미술;예능(중)|||||그림안에서미술학원|(2층) (연암동)|||20309
글공간국어논술학원||||일반학원||울산광역시 북구 호계로 337-10||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||글공간국어논술학원|태영빌딩 3층 (신천동)|||20315
글로리아음악학원||||음악/미술학원|052-282-2200|울산광역시 북구 이화5길 12||4|학교교과교습학원;예능(대);음악;예능(중)|||||글로리아음악학원|2층 (중산동,북부신협)|||20309
김동욱수학전문학원||||일반학원|052-245-7732|울산광역시 북구 양정5길 12-1||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김동욱수학전문학원|1층 (양정동)|||20315
김샘플러스/수학전문학원||||일반학원|052-900-7578|울산광역시 북구 두부곡4길 16||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||+ 수학전문학원||김샘플러스(+)수학전문학원|2층 (연암동)|||20315
김쌤영어&필수학단과전문학원||||일반학원|052-295-9005|울산광역시 북구 신천로 83||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김쌤영어앤(&)필수학단과전문학원|에이치프라자 1동 405호 (매곡동)|||20315
김은혜피아노학원||||음악/미술학원|052-287-1718|울산광역시 북구 송내14길 10||2|학교교과교습학원;예능(대);음악;예능(중)|||||김은혜피아노학원|1층 (화봉동)|||20309
꿈이크는미술학원||||음악/미술학원||울산광역시 북구 화산중앙로 94-3||2|학교교과교습학원;예능(대);미술;예능(중)|||||꿈이크는미술학원|201호 (화봉동)|||20309
나경학원||||일반학원|052-296-2526|울산광역시 북구 중산동로 37||10|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||나경학원|401동 301호,303호 (중산동,중산 디아채아파트)|||20315
나나미술학원||||음악/미술학원|052-292-2004|울산광역시 북구 중산서로 18||3|학교교과교습학원;예능(대);미술;예능(중)|||||나나미술학원|4층 (중산동)|||20309
네오아트미술학원||||음악/미술학원||울산광역시 북구 화정4길 24||2|학교교과교습학원;예능(대);미술;예능(중)|||||네오아트미술학원|2층 (중산동)|||20309
노블레스킹덤명촌학원||||일반학원||울산광역시 북구 명촌1길 7-4||1|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||노블레스킹덤명촌학원|2층일부,3층일부 (진장동)|||20315
노블리스음악학원||||음악/미술학원|052-285-1245|울산광역시 북구 호계로 327-22||2|학교교과교습학원;예능(대);음악;예능(중)|||||노블리스음악학원|(3층) (신천동)|||20309
눈높이러닝센터매곡학원||||일반학원|052-295-9915|울산광역시 북구 신천로 83-1||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터매곡학원|205호 (매곡동,H플라자)|||20315
눈높이러닝센터무룡학원||||일반학원|052-287-3977|울산광역시 북구 송내4길 14||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터무룡학원|4층일부 (화봉동)|||20315
눈높이러닝센터블루마학원||||일반학원|052-298-9109|울산광역시 북구 산하중앙3로 142||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터블루마학원|서희스타힐스블루원아파트 상가 122동 205호 (산하동)|||20315
눈높이러닝센터상안학원||||일반학원|052-282-9109|울산광역시 북구 달천로 30||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터상안학원|4층 (천곡동)|||20315
눈높이러닝센터신천학원||||일반학원|052-282-6171|울산광역시 북구 호계로 328||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터신천학원|303호 (신천동,코끼리타운)|||20315
눈높이러닝센터아진스카이학원||||일반학원|052-295-1488|울산광역시 북구 아진로 94||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터아진스카이학원|아진복합상가 208호 (천곡동)|||20315
눈높이러닝센터염포학원||||일반학원|052-288-9196|울산광역시 북구 염포로 673||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터염포학원|(5층) (염포동)|||20315
눈높이러닝센터월드학원||||일반학원|052-298-9509|울산광역시 북구 매산로 92-1||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터월드학원|2층 (매곡동)|||20315
눈높이러닝센터천곡드림학원||||일반학원|052-295-1485|울산광역시 북구 천곡길 131||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터천곡드림학원|(2층전면부) (천곡동)|||20315
눈높이러닝센터평창학원||||일반학원|052-287-3877|울산광역시 북구 명촌10길 23||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터평창학원|202호 (명촌동)|||20315
뉴굿모닝독서실||||독서실|052-211-9114|울산광역시 북구 가재길 87||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||뉴굿모닝독서실|외1필지 6층 (천곡동)|||20317
뉴버클리음악학원||||음악/미술학원|010-9818-1454|울산광역시 북구 매산로 35||3|학교교과교습학원;예능(대);음악;예능(중)|||||뉴버클리음악학원|304호 (매곡동,월드프라자)|||20309
뉴스타트4/영어전문학원||||외국어학원|052-2810-579|울산광역시 북구 천곡길 161||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||Newstart4 영어전문학원||뉴스타트4(Newstart4)영어전문학원|107동 202호 (천곡동,농소대동한마음타운)|||20305
뉴아트최병문입시미술학원||||음악/미술학원|052-2944-554|울산광역시 북구 신답로 33||4|학교교과교습학원;예능(대);미술;예능(중)|||||뉴아트최병문입시미술학원|3층 (상안동)|||20309
뉴영수마루학원||||일반학원|052-288-2824|울산광역시 북구 염포로 679||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||뉴영수마루학원|(4층) (염포동)|||20315
뉴하모니음악학원||||음악/미술학원|052-288-5373|울산광역시 북구 상방로 85||3|학교교과교습학원;예능(대);음악;예능(중)|||||뉴하모니음악학원|206호 (화봉동,동아청구아파트상가)|||20309
뉴하버드독서실||||독서실|052-288-2505|울산광역시 북구 화봉로 58||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||뉴하버드독서실|신화프라자403호 (연암동)|||20317
뉴한매쓰수학전문학원||||일반학원|052-288-1057|울산광역시 북구 송내4길 8||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||뉴한매쓰수학전문학원|(2층일부) (화봉동)|||20315
다비드미술학원||||음악/미술학원||울산광역시 북구 동대13길 23||4|학교교과교습학원;예능(대);미술;예능(중)|||||다비드미술학원|1층일부 (호계동)|||20309
다섯손가락음악학원||||음악/미술학원|052-285-2795|울산광역시 북구 중산동로 39||5|학교교과교습학원;예능(대);음악;예능(중)|||||다섯손가락음악학원|2층 (중산동)|||20309
다섯수레국어수학학원||||일반학원|052-292-8047|울산광역시 북구 가재길 96||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||다섯수레국어수학학원|201호 (천곡동)|||20315
다온음악학원||||음악/미술학원||울산광역시 북구 상방로 9||2|학교교과교습학원;예능(대);음악;예능(중)|||||다온음악학원|201호 (화봉동)|||20309
다올입시단과학원토핑잉글리시학원||||일반학원|052-287-8012|울산광역시 북구 염포로 569||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||다올입시단과학원토핑잉글리시학원|6층 (양정동)|||20315
다파회계컴퓨터학원||||컴퓨터학원|010-4456-8525|울산광역시 중구 염포로 21||6|평생직업교육학원;직업기술;전산회계;산업서비스|||||다파회계컴퓨터학원|4층 일부 (남외동)|||20310
달천동지수학과학전문학원||||일반학원||울산광역시 북구 가재길 82||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||달천동지수학과학전문학원|603호 (천곡동)|||20315
달천하이블국제관학원||||일반학원||울산광역시 북구 달천로 30||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||달천하이블국제관학원|3층 (천곡동)|||20315
대성플랜트용접학원||||전문자격학원|052-287-0990|울산광역시 북구 염포로 186-1||4|평생직업교육학원;직업기술;기계;산업기반기술|||||대성플랜트용접학원|2,3층 (진장동)|||20307
대제학학원||||일반학원|052-700-2225|울산광역시 북구 가재길 86||9|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||대제학학원|(5층) (천곡동)|||20315
더/1319학원||||일반학원|052-293-1319|울산광역시 북구 가재길 82||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||THE 1319학원||더(THE)1319학원|천곡동리더스빌딩 503호 (천곡동)|||20315
더더나은학원||||일반학원|052-283-2601|울산광역시 북구 명촌11길 16-1||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||더더나은학원|2층 (명촌동)|||20315
더엠수학학원||||일반학원|052-294-1977|울산광역시 북구 매곡1로 46||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||더엠수학학원|대우프라자 202호일부 (매곡동)|||20315
더프라임수학학원||||일반학원||울산광역시 북구 매곡1로 27||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||더프라임수학학원|201호 (매곡동,매곡푸르지오2단지상가동)|||20315
도담도담미술학원||||음악/미술학원|052-905-1391|울산광역시 북구 신기2길 30-1||3|학교교과교습학원;예능(대);미술;예능(중)|||||도담도담미술학원|3층 (매곡동)|||20309
동서미술단과전문학원||||음악/미술학원|052-282-3308|울산광역시 북구 화정1길 22||5|학교교과교습학원;예능(대);미술;예능(중)|||||동서미술단과전문학원|763번지 2층 (중산동)|||20309
두드림오투/독서실||||독서실||울산광역시 북구 명촌15길 5-3||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||O2 독서실||두드림오투(O2)독서실|4층 (명촌동)|||20317
두란노학원||||일반학원|052-291-0906|울산광역시 북구 이화5길 20||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||두란노학원|303호 (중산동,중산현대아파트)|||20315
드림캐쳐학원||||일반학원|052-291-1611|울산광역시 북구 호계매곡3로 30||1|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||드림캐쳐학원|2층 201호 (호계동)|||20315
디에이치/수학전문학원||||일반학원|052-276-1776|울산광역시 북구 상방로 134||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||DH 수학전문학원||디에이치(DH)수학전문학원|2층 (연암동)|||20315
디자인그린섬미술학원||||음악/미술학원|052-296-0008|울산광역시 북구 호계로 286||3|학교교과교습학원;예능(대);미술;예능(중)|||||디자인그린섬미술학원|3층 일부 (호계동)|||20309
라엘음악전문학원||||음악/미술학원|052-283-0301|울산광역시 북구 염포로 669||4|학교교과교습학원;예능(대);음악;예능(중)|||||라엘음악전문학원|상가동 206,207호 (염포동)|||20309
라온잉글리쉬학원||||일반학원|052-298-1319|울산광역시 북구 달천로 9||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||라온잉글리쉬학원|3층일부 (천곡동)|||20315
라이크외국어학원||||외국어학원|052-286-5595|울산광역시 북구 아진로 94||3|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||라이크외국어학원|아진복합상가 203호 (천곡동)|||20305
라인업수학전문학원||||일반학원|052-291-3007|울산광역시 북구 신천로 83||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||라인업수학전문학원|304호 (매곡동,H프라자1동)|||20315
로뎀나무수학전문학원||||일반학원|052-297-5505|울산광역시 북구 매산로 29||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||로뎀나무수학전문학원|조은프라자 201호 (매곡동)|||20315
로든/어학원||||외국어학원|052-282-7482|울산광역시 북구 산하중앙3로 94||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||Roden 어학원||로든(Roden)어학원|204호 (산하동)|||20305
로디음악학원||||음악/미술학원|052-227-0071|울산광역시 북구 당수골24길 1||3|학교교과교습학원;예능(대);음악;예능(중)|||||로디음악학원|3층 (호계동)|||20309
롱맨어학원||||외국어학원|052-289-4683|울산광역시 북구 명촌8길 34||10|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||롱맨어학원|2층 (명촌동)|||20305
리더스셀파우등생학원||||일반학원||울산광역시 북구 통샘6길 2||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||리더스셀파우등생학원|2층 (화봉동)|||20315
리드앤톡영어독서셀파우등생학원||||일반학원||울산광역시 북구 양정2길 3-1||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||리드앤톡영어독서셀파우등생학원|1층 (양정동)|||20315
리드인독서논술토론하는아이들학원||||일반학원|052-903-0700|울산광역시 북구 화산로 14||12|학교교과교습학원;입시.검정 및 보습;진학지도;진학지도|||||리드인독서논술토론하는아이들학원|휴먼프라자 303호 (화봉동)|||20315
리틀햇살그림터미술학원||||음악/미술학원|052-297-0050|울산광역시 북구 매산로 29||2|학교교과교습학원;예능(대);미술;예능(중)|||||리틀햇살그림터미술학원|202호 (매곡동,조은프라자)|||20309
마고음악학원||||음악/미술학원|052-289-8485|울산광역시 북구 명촌11길 6-1||3|학교교과교습학원;예능(대);음악;예능(중)|||||마고음악학원|202호 (명촌동)|||20309
마린음악학원||||음악/미술학원||울산광역시 북구 산하중앙3로 2||2|학교교과교습학원;예능(대);음악;예능(중)|||||마린음악학원|307호 (산하동)|||20309
마에스트로음악학원||||음악/미술학원|052-296-8070|울산광역시 북구 매곡1로 46||3|학교교과교습학원;예능(대);음악;예능(중)|||||마에스트로음악학원|외2필지 대우프라자 (301호) (매곡동)|||20309
매곡GnB영어전문학원||||외국어학원|052-707-0588|울산광역시 북구 매곡1로 46||6|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||매곡GnB영어전문학원|대우프라자 402호일부 (매곡동)|||20305
매곡루체테어학원||||외국어학원|052-292-0508|울산광역시 북구 매산로 35||8|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||매곡루체테어학원|205호,206호 (매곡동)|||20305
매곡리얼영어학원||||외국어학원||울산광역시 북구 신기3길 19-17||6|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||매곡리얼영어학원|2층 (매곡동)|||20305
매곡브레이니어학원||||외국어학원|052-298-2226|울산광역시 북구 신천로 83||11|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||매곡브레이니어학원|474-1외 4필지 H프라자2동 1층2층 (매곡동)|||20305
매곡에이플러스학원||||일반학원||울산광역시 북구 매곡1로 46||1|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||매곡에이플러스학원|대우프라자 205호 (매곡동)|||20315
매곡점153셀라음악학원||||음악/미술학원|052-295-5652|울산광역시 북구 매산로 35||2|학교교과교습학원;예능(대);음악;예능(중)|||||매곡점153셀라음악학원|303호 일부 (매곡동,월드프라자)|||20309
매곡점엠투/단과전문학원||||일반학원||울산광역시 북구 매산로 65||10|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||M2 단과전문학원||매곡점엠투(M2)단과전문학원|128동 308호 (매곡동)|||20315
매곡진단과전문학원||||일반학원||울산광역시 북구 신천로 83||10|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||매곡진단과전문학원|H프라자 1동 201호 (매곡동)|||20315
매곡햇살그림터미술학원||||음악/미술학원|052-297-0050|울산광역시 북구 매산로 15||4|학교교과교습학원;예능(대);미술;예능(중)|||||매곡햇살그림터미술학원|참조은빌딩3층,301호 (매곡동)|||20309
맥스/더큰영수학원||||일반학원||울산광역시 북구 가재길 82||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||MAX 더큰영수학원||맥스(MAX)더큰영수학원|604호 (천곡동)|||20315
맵수학학원||||일반학원|052-294-5355|울산광역시 북구 달천로 9||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||맵수학학원|4층일부 (천곡동)|||20315
메가톤플러스외국어학원||||외국어학원|052-286-0047|울산광역시 북구 아진로 106-6||8|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||메가톤플러스외국어학원|2층 (천곡동,예성빌딩)|||20305
메가파워스터디독서실||||독서실||울산광역시 북구 명촌7길 46-1||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||메가파워스터디독서실|4층,5층 (명촌동)|||20317
메가파워스터디학원||||일반학원|052-288-5089|울산광역시 북구 명촌7길 46-1||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||메가파워스터디학원|3층 (명촌동)|||20315
멘사에스지/매곡영재학원||||일반학원|052-295-0414|울산광역시 북구 매곡1로 46||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||멘사SG 매곡영재학원||멘사에스지(SG)매곡영재학원|대우프라자 401호 (매곡동)|||20315
멘토링단과학원||||일반학원|052-293-4200|울산광역시 북구 가재길 82||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||멘토링단과학원|303호 (천곡동)|||20315
명성영수전문학원||||일반학원|052-287-0959|울산광역시 북구 명촌15길 3-1||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||명성영수전문학원|3층 (명촌동)|||20315
명수학학원||||일반학원|052-298-8885|울산광역시 북구 매산로 35||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||명수학학원|404호 (매곡동,월드프라자)|||20315
명재수학학원||||일반학원|052-281-7977|울산광역시 북구 가재길 82||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||명재수학학원|501호 (천곡동,리더스빌딩)|||20315
명촌SJ수학전문학원||||일반학원|052-287-5599|울산광역시 북구 명촌11길 15||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||명촌SJ수학전문학원|3층 일부 (명촌동)|||20315
명촌엘리트입시학원||||일반학원|052-289-6509|울산광역시 북구 명촌10길 24||2|학교교과교습학원;입시.검정 및 보습;입시·논술;보통교과|||||명촌엘리트입시학원|상가동 205호,206호 일부 (명촌동,평창리비에르1차)|||20315
명촌잉글리쉬무무학원||||외국어학원|052-283-0579|울산광역시 북구 명촌11길 14||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||명촌잉글리쉬무무학원|2층 (명촌동)|||20305
명촌진/단과전문학원||||일반학원|052-275-1318|울산광역시 북구 명촌로 75||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||JIN 단과전문학원||명촌진(JIN)단과전문학원|4층 (명촌동,미남빌딩)|||20315
명촌피아노이야기음악학원||||음악/미술학원|052-289-8200|울산광역시 북구 명촌로 85||2|학교교과교습학원;예능(대);음악;예능(중)|||||명촌피아노이야기음악학원|302호 (명촌동,평창리비에르2차상가)|||20309
모나쉬잉글리쉬아카데미이보영의토킹클럽매곡어학원||||외국어학원|052-910-4455|울산광역시 북구 매산로 35||6|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||모나쉬잉글리쉬아카데미이보영의토킹클럽매곡어학원|202호 (매곡동) (월드프라자)|||20305
목담입시학원||||일반학원|052-282-6339|울산광역시 북구 아진로 78||14|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||목담입시학원|맑은샘 빌딩301호 (상안동)|||20315
몰리영어학원||||일반학원|052-282-8070|울산광역시 북구 아진로 77||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||몰리영어학원|216동 304호 (상안동,쌍용아진아파트2차상가)|||20315
문봉제8학원||||일반학원||울산광역시 북구 신천로 22||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||문봉제8학원|3층 (신천동)|||20315
문봉학원||||일반학원|052-289-0884|울산광역시 북구 통샘11길 4||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||문봉학원|2층 (화봉동)|||20315
문성수학입시학원||||일반학원|052-298-4040|울산광역시 북구 천곡길 161||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||문성수학입시학원|301호 (천곡동)|||20315
뮤즈음악학원||||음악/미술학원|052-295-6100|울산광역시 북구 신천로 29||3|학교교과교습학원;예능(대);음악;예능(중)|||||뮤즈음악학원|극동스타클래스아파트 상가동 A동 204호 205호 (신천동,극동아파트상가)|||20309
미래엔/학원||||일반학원||울산광역시 북구 이화5길 41||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||미래N 학원||미래엔(N)학원|3층 (중산동)|||20315
미믹킹북울산어학원||||외국어학원|052-291-0709|울산광역시 북구 달천로 19||4|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||미믹킹북울산어학원|2층 (천곡동)|||20305
박쌤수학과학루체테영어학원||||일반학원|052-2920-581|울산광역시 북구 화암1길 2||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||박쌤수학과학루체테영어학원|102호,103호 (산하동)|||20315
박영희음악학원||||음악/미술학원|052-288-7006|울산광역시 북구 명촌10길 23||4|학교교과교습학원;예능(대);음악;예능(중)|||||박영희음악학원|2층 (명촌동)|||20309
박주영피아노학원||||음악/미술학원|052-287-5407|울산광역시 북구 두부곡4길 24||3|학교교과교습학원;예능(대);음악;예능(중)|||||박주영피아노학원|2층일부 (연암동)|||20309
백문주음악학원||||음악/미술학원|052-288-1225|울산광역시 북구 송내14길 26||3|학교교과교습학원;예능(대);음악;예능(중)|||||백문주음악학원|1층 (화봉동)|||20309
버드리아카데미학원||||음악/미술학원||울산광역시 북구 염포로 517||2|평생직업교육학원;기예(대);국악;기예(중)|||||버드리아카데미학원|2층 (양정동)|||20309
별을먹는미술학원||||음악/미술학원|052-235-6289|울산광역시 북구 명촌10길 24||3|학교교과교습학원;예능(대);미술;예능(중)|||||별을먹는미술학원|301동 202호 (명촌동,평창리비에르1차)|||20309
보다미술학원||||음악/미술학원||울산광역시 북구 호계매곡3로 20||5|학교교과교습학원;예능(대);미술;예능(중)|||||보다미술학원|3층301호 (호계동)|||20309
보스턴영어정상학원||||일반학원|052-285-0230|울산광역시 북구 매곡1로 55-23||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||보스턴영어정상학원|2층,3층 (신천동)|||20315
본아트스터디미술학원||||음악/미술학원||울산광역시 북구 신천로 55-22||2|학교교과교습학원;예능(대);미술;예능(중)|||||본아트스터디미술학원|신천수테라스타운 309호 (신천동)|||20309
본테입시미술학원||||음악/미술학원||울산광역시 북구 신천로 53-3||3|학교교과교습학원;예능(대);미술;예능(중)|||||본테입시미술학원|1층 (신천동)|||20309
부승학원||||일반학원|052-298-1052|울산광역시 북구 호계로 376-1||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||부승학원|3층 (신천동)|||20315
북경통중국어학원||||외국어학원|052-296-3334|울산광역시 북구 아진로 78||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||북경통중국어학원|맑은샘빌딩 202호 (상안동)|||20305
